FIPS,State,County,FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11,FIPS,State,County,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,LACCESS_HISP15,PCT_LACCESS_HISP15,LACCESS_NHASIAN15,PCT_LACCESS_NHASIAN15,LACCESS_NHNA15,PCT_LACCESS_NHNA15,LACCESS_NHPI15,PCT_LACCESS_NHPI15,LACCESS_MULTIR15,PCT_LACCESS_MULTIR15,FIPS,State,County,FFR09,FFR14,PCH_FFR_09_14,FFRPTH09,FFRPTH14,PCH_FFRPTH_09_14,FSR09,FSR14,PCH_FSR_09_14,FSRPTH09,FSRPTH14,PCH_FSRPTH_09_14,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12,FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10,FIPS,State,County,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,PCT_HSPA15,RECFAC09,RECFAC14,PCH_RECFAC_09_14,RECFACPTH09,RECFACPTH14,PCH_RECFACPTH_09_14
1001,AL,Autauga,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3,1001,AL,Autauga,18428.4396853647,17496.6930380858,-5.056025703678356,33.76965730033296,32.062254747184035,5344.42747247314,6543.67682386602,22.439248311810754,9.793530396131903,11.991125000212604,664.216487208815,677.672769180102,2.0258879793594544,3.2847855556540977,3.3513316313738293,931.935186356427,4.608749252541551,4822.5002687735,4616.97147985914,-4.2618720053826165,8.837111778735043,8.460485385752763,2388.23322829447,2180.80928470464,-8.685246530045113,4.376377981518517,3.9962787647370215,12640.6154135004,23.163613299188945,4216.47319356368,7.726582238851551,471.136164350057,0.8633453012590149,86.767975169827,0.1590001560715893,61.1698691709567,0.11209226360329974,8.81796072726138,0.01615869367843978,482.848632899594,0.884808108518433,1001,AL,Autauga,30,36,20.0,0.55417013,0.649878148,17.270511779,34,29,-14.705882353,0.628059481,0.523512952,-16.645959765,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,1001,AL,Autauga,77.2461563834271,17.582598816221072,2.4005424126367485,0.8557658829781385,0.39764710194059116,0.04031445273130417,11.995382162687141,26.777958989206724,56580.0,12.7,0,18.8,0,1,0.0,1001,AL,Autauga,11.4,13.0,31.5,34.1,25.400000000000006,4,5,25.0,0.073889351,0.090260854,22.156783103
1003,AL,Baldwin,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3,1003,AL,Baldwin,35210.8140777756,30561.2644297432,-13.204891081933559,19.318472596371,16.767489331327024,9952.14402697035,9886.83113695157,-0.6562695419377182,5.460260624349354,5.4244265969613314,1571.77991534128,1394.16276629172,-11.30038291722249,2.1478271595262095,1.9051144660996444,950.535289702192,1.2989003685463132,7916.13193162258,7007.97267534918,-11.47226024171699,4.343199150480114,3.8449360411209934,6404.00860293696,5580.66278954589,-12.856725598611373,3.5135701330134474,3.061840062297144,25483.1868109559,13.981393471569364,3540.96582645598,1.9427568795193702,1377.87483396046,0.7559733541604038,212.946378394542,0.11683339006092339,181.649648311471,0.09966238625708228,14.8196338085691,0.008130817111661097,1127.69609830764,0.6187123684238006,1003,AL,Baldwin,112,132,17.857142857,0.624282354,0.659633903,5.662750031,202,221,9.405940594,1.125937817,1.104387065,-1.914026824,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,1003,AL,Baldwin,83.50478698598195,9.308424546676543,4.384824294296766,0.7351932625572656,0.6287548349930048,0.04334348338957013,16.771184813321263,22.987408443749484,52387.0,12.9,0,19.6,0,1,0.0,1003,AL,Baldwin,9.8,10.4,26.2,27.4,25.400000000000006,18,25,38.888888889,0.100331093,0.124930663,24.518392292
1005,AL,Barbour,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3,1005,AL,Barbour,5722.3056022933,6069.52362758896,6.067799405129772,20.840971709557856,22.105560066973666,3135.67608617583,2948.79025102387,-5.959985343380278,11.420315716122772,10.739666573274102,406.142372194327,425.144927366927,4.6787915946647045,4.135869370614328,4.329378079092943,422.569040288366,4.303147049779694,940.419326548446,1031.92777647386,9.73060073757426,3.4250621937882726,3.758341320879411,770.214550126597,824.175262446028,7.005932608071565,2.8051664425341336,3.001694513042313,2828.87671050165,10.302934444774191,2713.12492972364,9.881359688690097,509.377525052818,1.855182740477175,17.0964100404502,0.06226612536129292,39.9605266923081,0.14553857556290964,8.08237598461528,0.029436486085935396,462.382654954351,1.6840246747800232,1005,AL,Barbour,21,22,4.761904762,0.759301443,0.818239298,7.762115521,12,15,25.0,0.433886539,0.55789043,28.579796928,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,1005,AL,Barbour,46.75310485486397,46.691189860509155,5.05153512765415,0.3897002585861529,0.21852350948756236,0.08740940379502495,14.236806643114688,21.906981826128128,31433.0,32.0,1,45.2,1,0,0.0,1005,AL,Barbour,13.6,18.4,37.6,44.4,25.400000000000006,1,0,-100.0,0.0361572,0.0,-100.0
1007,AL,Bibb,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3,1007,AL,Bibb,1044.86732736101,969.378840984762,-7.224695844103675,4.559752683225005,4.2303244206186426,491.449066238583,596.162828807213,21.30714447584174,2.1446609916586645,2.6016270076683963,275.06087499396,224.388124619995,-18.422376637563485,3.4585800954854773,2.8214274439833398,53.8187720247035,0.6767103234591161,249.204752698424,232.642670170693,-6.64597378195818,1.0875180130849835,1.015241851061283,150.553323396136,137.688230946444,-8.545206548407668,0.6570077390187039,0.6008650706805324,540.512238706047,2.3587704067468778,419.099942484012,1.8289327623129479,8.59676248193227,0.03751587380289012,1.99431798684236,0.008703111441598778,2.51309718098491,0.010967039847195766,0.0,0.0,5.25924404172292,0.022951097716443027,1007,AL,Bibb,7,5,-28.571428571,0.305130552,0.222162979,-27.190844346,6,5,-16.666666667,0.261540473,0.222162979,-15.055985071,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,1007,AL,Bibb,75.02072878027492,21.92450360026184,1.7717652192886755,0.09600698232598735,0.27929303949378137,0.030547676194632337,12.68164957451451,22.696923412611827,40767.0,22.2,0,29.3,1,1,0.0,1007,AL,Bibb,11.1,14.8,32.3,40.3,25.400000000000006,1,1,0.0,0.0435901,0.0444326,1.932817915
1009,AL,Blount,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3,1009,AL,Blount,1548.17555923387,3724.42824233857,140.56885668584255,2.700840094961568,6.497380137361867,609.02770839259,1650.95948166117,171.08117724537624,1.0624676535930184,2.8801498232112803,705.466782736982,719.93144402445,2.050367450519748,3.269379843993799,3.3364141441489017,175.370338437865,0.8127274929922376,384.911607351067,910.686113009206,136.5961679556717,0.671490191115221,1.5887200603768292,195.049051213748,505.914282447697,159.37797661639576,0.34026909600807365,0.8825830962766426,3387.24126576124,5.909147039114545,95.8426872727741,0.16720052906872424,497.489891290528,0.8678864856259867,8.42899439623579,0.014704641143427986,28.9382422310082,0.05048365763757057,1.06285117741209,0.0018541767164650393,202.91418653419,0.35399006757299123,1009,AL,Blount,24,21,-12.5,0.418548682,0.363831667,-13.073034876,19,15,-21.052631579,0.33135104,0.259879762,-21.569655527,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,1009,AL,Blount,88.88733819475942,1.2630403684449252,8.070199923240642,0.20062105299884864,0.49719130525801614,0.03140155612155891,14.722096228324203,24.608352813928335,50487.0,14.7,0,22.2,0,1,0.0,1009,AL,Blount,11.4,14.1,31.9,34.6,25.400000000000006,3,3,0.0,0.0523186,0.051976,-0.654897001
1011,AL,Bullock,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3,1011,AL,Bullock,4089.9835478141,4141.90036536622,1.2693649484205736,37.47465226144493,37.950342361794206,2199.35982793515,2154.78929983559,-2.0265227878334264,20.151730144173996,19.74335074065961,272.844258279601,415.861300840738,52.41709811411106,7.285560968747689,11.104440609899546,225.322524988909,6.016622830144433,607.097868215287,616.715389898739,1.5841797817088423,5.562560639685605,5.650681600684799,554.388020740519,566.539354360723,2.191846354106457,5.079604368155754,5.190941491302208,1462.19645654496,13.397438670926883,2634.50668503436,24.138782160842588,24.0788894071457,0.22062387215636522,0.968748204904841,0.008876197589379155,7.70528757982168,0.07060003280027194,0.0,0.0,36.5231713199781,0.3346451467837465,1011,AL,Bullock,4,3,-25.0,0.364066624,0.2787068,-23.446209588,2,1,-50.0,0.182033312,0.092902267,-48.964139725,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,1011,AL,Bullock,21.916804104819498,69.97434487813817,7.119296316657504,0.1832508704416346,0.1832508704416346,0.03665017408832692,13.459776433938062,22.264980758658602,28251.0,39.6,1,51.2,1,0,0.0,1011,AL,Bullock,14.9,19.6,37.8,43.0,25.400000000000006,0,0,0.0,0.0,0.0,0.0
1013,AL,Butler,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3,1013,AL,Butler,1307.81970553017,1304.32875630859,-0.2669289357560789,6.243470213062348,6.226804584468373,593.225138622194,612.934760794224,3.3224522847779054,2.832029114537614,2.926121930559144,395.03167176685,320.168301040939,-18.951232540690004,4.652357458095042,3.770678377587316,91.4377952925083,1.0768789929632352,264.826077122668,264.140115579595,-0.25902341284739383,1.2642673276491525,1.260992579269561,254.954428314888,254.768140186343,-0.07306722608281485,1.217140537140822,1.2162512063128037,729.73241167102,3.4837084626486847,550.901102632739,2.629976142802019,11.0849018942851,0.05291880409741299,4.95549835638667,0.023657317784822027,7.29875918617472,0.034843935581108126,0.0,0.0,11.4409871611977,0.05461873853629494,1013,AL,Butler,17,17,0.0,0.814683472,0.837603469,2.813362239,19,10,-47.368421053,0.910528586,0.492707923,-45.887704085,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,1013,AL,Butler,54.06024729078149,43.18995560223421,0.9118250823506946,0.830667876068172,0.28166324533346065,0.03341767317515635,16.65632310116007,24.137107939084355,33868.0,25.8,1,36.0,1,0,1.0,1013,AL,Butler,15.1,17.7,36.8,36.3,25.400000000000006,0,1,,0.0,0.0492708,
1015,AL,Calhoun,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3,1015,AL,Calhoun,30901.1505851428,27785.986765365,-10.081060933943231,26.061085741273487,23.433851807648516,11909.1628579287,10883.2099687745,-8.614819541838392,10.043823885848852,9.178566582982912,1252.15018593941,1235.28962949462,-1.3465282866320578,2.645518129638947,2.6098954796953793,1931.25635752145,4.080320207731614,6959.88710640568,6167.76448702024,-11.381256725506267,5.869756018626387,5.201704016985663,4974.95713302801,4455.31246795101,-10.445208896920033,4.195726759292253,3.7574743345402033,21058.3589572306,17.759976180911682,5465.72518034221,4.609625527394503,970.893190568127,0.8188216362784865,235.07120252761,0.19825186597814828,118.296515100503,0.09976766445746299,21.9615067912382,0.0185216634544734,886.573464390949,0.7477089569130562,1015,AL,Calhoun,95,103,8.421052632,0.802615682,0.888574485,10.709833437,67,77,14.925373134,0.566055271,0.66427413,17.351460888,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,1015,AL,Calhoun,73.61350065782815,20.39014269810748,3.283237189218365,0.6999966265222818,0.40481732618156063,0.07927672637722229,14.328846607968154,22.877239145835443,42091.0,20.0,0,30.7,0,1,0.0,1015,AL,Calhoun,14.5,14.9,33.5,32.2,25.400000000000006,7,7,0.0,0.0591401,0.0603886,2.111011422
1017,AL,Chambers,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3,1017,AL,Chambers,6748.21322261533,7131.50571665377,5.679910835566213,19.722967185782053,20.843214136062457,3018.28474660405,3533.91621589475,17.08359258916345,8.821524906047202,10.328558281147888,616.696813443102,730.201066732426,18.4051953593881,4.426159573983363,5.240802890493261,502.632028334522,3.607493205587612,1531.67667699948,1595.35384990639,4.157350821039609,4.476623343561245,4.66273228088964,1170.80546726137,1266.43347472454,8.167711044846191,3.4219069626227387,3.7013984355532368,4281.11041645198,12.512378829320417,2616.9630131652,7.648583992883823,126.786631121557,0.3705586179206693,108.493405609874,0.31709310422292564,20.6881457351265,0.06046513440048663,0.061101226019673,0.0001785802309503814,104.1896200823,0.3045144529659506,1017,AL,Chambers,22,26,18.181818182,0.63983248,0.763000352,19.250018675,19,16,-15.789473684,0.552582597,0.469538678,-15.028326774,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,1017,AL,Chambers,58.14116615519509,38.59710653222271,1.5665643723513079,0.4851673242729797,0.16659359929855327,0.020458863071752154,16.676896098202544,22.51351746310098,35560.0,22.4,0,34.4,1,0,1.0,1017,AL,Chambers,16.1,16.4,35.5,39.7,25.400000000000006,2,0,-100.0,0.0581666,0.0,-100.0
1019,AL,Cherokee,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3,1019,AL,Cherokee,79.410234562587,103.522498883598,30.364177179211055,0.30555325161640307,0.39833198231404826,34.4838623480173,57.4649017164193,66.64288105686437,0.13268637634390432,0.2211124003094359,378.737459294195,299.886922835486,-20.81931283101828,3.5642523931318935,2.822199537318709,4.88856330459021,0.04600567762648419,17.3260469394154,18.7476009328966,8.204722049132148,0.06666684727929277,0.07213667679747816,9.22233963641338,13.7790034934878,49.40897903047226,0.03548555018051245,0.053018598228049565,100.890836172097,0.38820591855052905,1.41091329790652,0.005428886443905191,0.348952026106417,0.0013426912390104159,0.0,0.0,0.217044921359047,0.000835141488164404,0.0,0.0,1.00370467733592,0.0038620365436758627,1019,AL,Cherokee,16,15,-6.25,0.618859751,0.576103238,-6.908918078,10,11,10.0,0.386787344,0.422475708,9.226869455,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,1019,AL,Cherokee,92.07356958713302,4.640424795105622,1.2312901612220555,0.18854130593712726,0.4694293739659086,0.0038477817538189237,17.896032937011814,21.41675324175613,39144.0,19.4,0,30.2,0,0,0.0,1019,AL,Cherokee,13.6,13.3,31.5,33.6,25.400000000000006,1,1,0.0,0.0386787,0.0384069,-0.70284595
