2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"('digital audio playback device', 0.7888921915838429)","('multidimensional space', 0.6039602213046114)","('secondary identity', 0.3881348214755121)","('original message', 0.4893404735101178)","('communication system', 0.6446607729467028)","('product category', 0.3474431210045522)","('social network', 0.3835915821695907)","('top term', 0.49038299201579144)","('browser application', 0.25526495411074274)","('web page', 0.40654543363180334)","('mobile device', 0.315321950032366)","('electronic message', 0.29977677180642387)","('character stream', 0.2084627844761347)","('mobile device', 0.34957151223339766)","('client device', 0.3183485925655776)","('client device', 0.2863020214091918)","('network request', 0.40001325498078666)","('access code', 0.683236561047216)"
"('wireless communication link', 0.22532281402140755)","('recommendationspecific query', 0.40264014753640753)","('primary identity', 0.3881348214755121)","('reply message', 0.29360428410607065)","('email message', 0.4035618393502102)","('news item', 0.34209253608442897)","('digital file', 0.3006883823723079)","('social network', 0.28117355194481464)","('abstract phrase', 0.24232485703555917)","('threshold degree', 0.20892143940120375)","('anchor term', 0.27911574784862686)","('mobile device', 0.22734209249962897)","('social graph', 0.19642773317681456)","('content item', 0.30732949064390735)","('content item', 0.22673784767982383)","('mobile device', 0.2697845970971231)","('rewrite rule', 0.2560084831877035)","('access device', 0.4448106502026524)"
"('user request copy', 0.22532281402140755)","('multidimensional data', 0.40264014753640753)","('user identifier', 0.32667049718080693)","('social network', 0.2693527655646261)","('host system', 0.37205092320492167)","('medium content', 0.34130405866968233)","('travel time', 0.29520093099907574)","('demographic information', 0.24519149600789572)","('executable code segment', 0.22148047817774646)","('candidate user', 0.17605233452410576)","('map view', 0.18323064204198805)","('instant message', 0.19518983185255231)","('interactive element', 0.18530025286767532)","('social network', 0.2581780947876357)","('social graph', 0.1957619585182088)","('target word', 0.1620476946331497)","('natural language user request', 0.2560084831877035)","('remote web browser', 0.2533571698326189)"
"('mobile digital audio player', 0.22532281402140755)","('multidimensional cube', 0.40264014753640753)","('common graphical user interface', 0.2587565476503414)","('mobile telephone', 0.20618846129641522)","('delivers email message', 0.24592431028235504)","('social network environment', 0.2559780440022617)","('trust value', 0.2505736519769232)","('text phrase', 0.2011796454941115)","('data center', 0.22122962689597706)","('particular embodiment access', 0.14943745689239127)","('particular embodiment', 0.17618661430727153)","('content item', 0.16917245275486606)","('content item', 0.17101048787770978)","('future activity', 0.22614387400035657)","('mobile device', 0.18133780589178472)","('social graph', 0.14306483870412975)","('network resource', 0.23012881481064615)","('user identifier', 0.21925550944556124)"
"('enable wireless communication', 0.22532281402140755)","('variable information', 0.20132007376820377)","('secondlevel password', 0.22648729651400584)","('reply source indicator', 0.1957361894040471)","('certain user', 0.24592431028235504)","('real life friend', 0.23816748368605703)","('multiple identity', 0.2004589215815386)","('external system', 0.2008561841076829)","('text phrase', 0.19882756794817694)","('search query', 0.1428922293988638)","('timeline unit', 0.16470802047290048)","('geographic location', 0.15297785663526436)","('electronic message', 0.16958546251517326)","('online system', 0.16969644955860444)","('medium item', 0.17980162332097893)","('content identifier', 0.13660771413676973)","('object graph', 0.19200636239077762)","('present geographic location', 0.20787958163392548)"
"('digital playback device andor', 0.22532281402140755)","('process system', 0.20132007376820377)","('onetime challenge', 0.22648729651400584)","('destination indicator', 0.1957361894040471)","('particular moment', 0.2210640419165699)","('privacy summary', 0.2084658726027313)","('master keywords', 0.18297315657092755)","('picture file', 0.17507854192249964)","('text value', 0.19385988562844733)","('user comment', 0.12276200372438714)","('social network', 0.1634265819928352)","('user profile', 0.13984922761068927)","('social network', 0.16186257979501212)","('client device', 0.1556685640414349)","('online system', 0.12292029953468923)","('user profile', 0.13443774339025105)","('mobile device', 0.16521205168785927)","('content creation event', 0.14472738117631165)"
"('digital audio content', 0.22532281402140755)","('computer software', 0.20132007376820377)","('additional service', 0.22648729651400584)","('memory device', 0.16060156178257665)","('electronic data', 0.2210640419165699)","('social network', 0.1912467302115491)","('data unit', 0.18297315657092755)","('thirdparty application server', 0.15324468500493482)","('response phase', 0.17426276334090174)","('user node', 0.12247905377045468)","('multimedia content', 0.15012287134486574)","('visible portion', 0.13354959229028382)","('digital file', 0.152256304509789)","('social graph', 0.15118410960675668)","('social network', 0.12244855063911031)","('content item', 0.12859262411241407)","('source video', 0.1600053019923147)","('access device techniques', 0.14472738117631165)"
"('addition digital content', 0.22532281402140755)","('retrieve data', 0.1651831394276063)","('account holder', 0.22648729651400584)","('cpuintensive computational task', 0.16060156178257665)","('instant message', 0.18602546160246083)","('digital medium', 0.18739224416778225)","('temporal period', 0.16725149509555806)","('calendar entry', 0.13775331698817053)","('social network', 0.1667317387916589)","('access code', 0.11954996551391302)","('content object', 0.14630195449666383)","('input tool', 0.13354959229028382)","('medium item', 0.14183511410359945)","('timeline unit', 0.11745251106629784)","('computerreadable medium', 0.1121819584644904)","('computer system', 0.11383852841549637)","('bit rate', 0.1600053019923147)","('geographic location', 0.1376851014069484)"
"('digital audio player', 0.14918618042017429)","('zoom level', 0.0)","('multiple identity', 0.20359189846932002)","('visibility preference', 0.13745897419761013)","('various type', 0.1727044116092737)","('central computer', 0.18739224416778225)","('gift account', 0.16725149509555806)","('authentication code', 0.13775331698817053)","('social captcha', 0.16611035863330986)","('social network', 0.1143834359129498)","('content item', 0.14094929144581722)","('social graph', 0.12962054346104598)","('noncompletion character', 0.13897518965075648)","('computerreadable medium', 0.10643911969257436)","('user account', 0.10880268353507085)","('online system', 0.10574357643348721)","('antenna element', 0.1440047717930832)","('retrieve message data', 0.12667858491630946)"
"('zoom level', 0.0)","('zero value', 0.0)","('secondary identity interacts', 0.1293782738251707)","('contactability preference', 0.13745897419761013)","('zoom level', 0.0)","('data item', 0.17065202933484117)","('trust level', 0.15034419118615394)","('user profile', 0.12377687489928686)","('response portion', 0.15906205435854154)","('participant list', 0.10507207349105717)","('search result', 0.12920351715866582)","('user interface', 0.1296062396493212)","('user interface', 0.13295762013667306)","('medium content item', 0.10390029825095579)","('medium presentation system', 0.1016601718435045)","('machine translation system', 0.10417351797845337)","('network access component', 0.14383050925665383)","('message experience', 0.12667858491630946)"
