abstract,applicant,date_filed,inventor,p_num,title,type,url
"Techniques for coordinating a message experience across platforms are described. In one embodiment, an apparatus may comprise a messaging application operative on a processor circuit to receive a request from a remote web browser to login to the messaging application. The messaging application may comprise an access code generator to generate a first access code and present the first access code on a messaging application website; an authenticator to receive a second access code from a second device associated with a user identifier, compare the second and first access codes, and lookup an account associated with the user identifier; and a messaging component to retrieve message data for an account associated with the user identifier in response the second access code matching the first access code, and to transmit the message data to the remote web browser for presentation. Other embodiments are described and claimed.","FACEBOOK, INC.","January 15, 2018","Jessica Lee, Robert Franklin Daniel, William Arthur Franklin, Harrison C. Wong",20180139167,TECHNIQUES FOR COORDINATING A MESSAGING EXPERIENCE ACROSS PLATFORMS,Application,https://patents.justia.com/patent/20180139167
"Techniques to share application data through a messaging system are described. In one embodiment, an apparatus may comprise a messaging component operative to receive a message package from a messaging service at a messaging client on a client device, the message package addressed from a source messaging account and addressed to a recipient messaging account, the recipient messaging account associated with the messaging client on the client device; extract an application data payload from the message package; receive an application service recommendation package from the messaging service, the application service recommendation package comprising an application service identifier; and an application interoperation component operative to transmit at least a portion of the application data payload to a recommended application service by the messaging client, the recommended application service identified by the application service identifier. Other embodiments are described and claimed.","FACEBOOK, INC.","December 20, 2017","Alexander Salem Franklin, Matthew Steiner, Jonathan David Perlow",20180113753,TECHNIQUES TO SHARE APPLICATION DATA THROUGH A MESSAGING SYSTEM,Application,https://patents.justia.com/patent/20180113753
"Techniques for mobile device personalization are described. In an embodiment, user credentials for an online service are received at a mobile device kiosk. The user credentials may be authenticated and, upon authentication, user data associated with the user credentials may be transferred to a mobile device of the mobile device kiosk. The user data may be transferred between the mobile device kiosk and a wireless transmitter embedded on a printed circuit board (PCB) of the mobile device. Further, the user data may be transferred to the mobile device without powering on the mobile device. Once the data transfer is complete, the mobile device may be provided to a user.","FACEBOOK, INC.","October 17, 2017","Yael MAGUIRE, Fraidun AKHI",20180041627,TECHNIQUES FOR MOBILE DEVICE PERSONALIZATION,Application,https://patents.justia.com/patent/20180041627
"Techniques for managing groups on a mobile platform, comprising a mobile groups application. The mobile groups application including a groups management component to manage at least one group for a corresponding social networking application of a social networking system; and a groups rendering component to render a groups user interface (UI) view comprising at least one selectable group user interface element representative of the at least one group, the at least one selectable group UI element comprising a first selectable group UI element, wherein the first selectable group UI element is representative of a first group of the at least one group and the first group comprises at least one group member.","FACEBOOK, INC.","June 26, 2017","David Ross Ferguson, Jun Sun",20180020004,TECHNIQUES FOR MANAGING GROUPS ON A MOBILE PLATFORM,Application,https://patents.justia.com/patent/20180020004
"Techniques to selectively capture media using a single user interface element are described. In one embodiment, an apparatus may comprise a touch controller, a visual media capture component, and a storage component. The touch controller may be operative to receive a haptic engagement signal. The visual media capture component may be operative to be configured in a capture mode based on whether a haptic disengagement signal is received by the touch controller before expiration of a first timer, the capture mode one of a photo capture mode or video capture mode, the first timer started in response to receiving the haptic engagement signal, the first timer configured to expire after a first preset duration. The storage component may be operative to store visual media captured by the visual media capture component in the configured capture mode. Other embodiments are described and claimed.","FACEBOOK, INC.","September 21, 2017","William M. Ruben, Daniel J. Smith II, Nilesh V. Patel, Mykyta Lutsenko, William J. Flynn, Andrei V. Gheorghe",20180013956,TECHNIQUES TO SELECTIVELY CAPTURE VISUAL MEDIA USING A SINGLE INTERFACE ELEMENT,Application,https://patents.justia.com/patent/20180013956
"Techniques for database replication between client devices are described. In another embodiment, an apparatus may comprise a local database management component operative to send a collection subscription command from a client device to a database synchronization system, the collection subscription command specifying an object collection; and update a local database store for the object collection on the client device using a collection update; and a local queue component operative to receive the collection update from the database synchronization system based on the collection subscription command, the collection update for the object collection, the collection update received as a push notification from the database synchronization system; and send an update acknowledgement in response to the collection update based on the updating of the local database store for the object collection. Other embodiments are described and claimed.","FACEBOOK, INC.","June 30, 2016","Vishal Kathuria, Joshua Scott Evenson, Andras Biczo, Hong-Seok Kim, Leigh Jonathan Henry Pauls",20180004829,TECHNIQUES FOR DATABASE REPLICATION BETWEEN CLIENT DEVICES,Application,https://patents.justia.com/patent/20180004829
"Techniques for replication of a client database to remote devices are described. In one embodiment, an apparatus may comprise a server database management component operative to receive a collection subscription command from a client device at a database synchronization system, the collection subscription command specifying an object collection; and detect a collection change for the object collection; and an update queue management component operative to register the client device for push notification with a collection update queue associated with the object collection; and add a collection update to the collection update queue, the collection update based on the collection change. Other embodiments are described and claimed.","FACEBOOK, INC.","June 30, 2016","Vishal Kathuria, Joshua Scott Evenson, Andras Biczo, Hong-Seok Kim, Leigh Jonathan Henry Pauls",20180004828,TECHNIQUES FOR REPLICATION OF A CLIENT DATABASE TO REMOTE DEVICES,Application,https://patents.justia.com/patent/20180004828
"Exemplary embodiments relate to techniques for the atomic switching of user accounts for a messaging client, in order to maintain constant network availability of the messaging client. The messaging client may allow the registering of multiple messaging accounts and switching between them. Switching may include validating a selecting account, logging out the currently-active account if validation is successful, and logging in the selected account. If validation or logging-in fails, the messaging client remains logged-in to, or returns to, the previously-active account. A limited token may be maintained for inactive accounts and may allow for the retrieval of information such as whether inactive accounts have unread messages, and if so how many, without allowing further access. The messaging client may therefore periodically poll the messaging system (or vice versa) and display notifications for inactive accounts, and the inactive accounts may still be listed as available via the messaging system.","FACEBOOK, INC.","June 24, 2016","Louis Benoit Philippe Boval, Kunal Nikhil Modi",20170374075,Methods and Systems for Maintaining Reachability of a Messaging Application,Application,https://patents.justia.com/patent/20170374075
"Exemplary embodiments relate to techniques for improving a machine translation system. The machine translation system may include one or more models for generating a translation. The system may generate multiple candidate translations, and may present the candidate translations to different groups of users, such as users of a social network. User engagement with the different candidate translations may be measured, and the system may determine which of the candidate translations was most favored by the users. For example, in the context of a social network, the number of times that the translation is liked or shared, or the number of comments associated with the translation, may be used to determine user engagement with the translation. The models of the machine translation system may be modified to favor the most-favored candidate translation. The translation system may repeat this process to continue to tune the models in a feedback loop.","FACEBOOK, INC.","June 24, 2016","Ying Zhang, Fei Huang, Kay Rottmann, Necip Fazil Ayan",20170371868,OPTIMIZING MACHINE TRANSLATIONS FOR USER ENGAGEMENT,Application,https://patents.justia.com/patent/20170371868
"Exemplary embodiments relate to detecting, removing, and/or replacing objectionable words and phrases in a machine-generated translation. A classifier identifies translations containing target words or phrases. The classifier may be applied to the output translation to remove target words and phrases from the translation, or to prevent target words and phrases from being automatically presented. Further, the classifier may be applied to a translation model to prevent the target words and phrases from appearing in the output translation. Still further, the classifier may be applied to training data so that the translation model is not trained using the target words of phrases. The classifier may remove target words or phrases only when the target words or phrases appear in the output translation but not the source language input data. The classifier may be provided as a standalone service, or may be employed in the context of a machine translation system.","FACEBOOK, INC.","June 24, 2016","Matthias Gerhard Eck, Priya Goyal",20170371865,TARGET PHRASE CLASSIFIER,Application,https://patents.justia.com/patent/20170371865
