title,year,type,abstract,main_class,sub_class,third_class
Sponsored stories and news stories within a newsfeed of a social networking system,2012-01-01,Grant,"A social networking system generates socially-relevant stories for a user based on actions taken by other users to whom the user is connected. The social networking system may receive a request for a sponsored story for a viewing user and may select information about one or more actions performed by one or more users to whom the viewing user is connected to identify one of a plurality of candidate information for a sponsored story based on one or more criteria (e.g., affinity of the viewing user for the candidates, expected value for the candidates, etc.). The social networking system may also generate the sponsored story and generate a feed comprising the sponsored story and news stories (e.g., non-sponsored stories) about one or more users of the social networking system with whom the viewing user is connected. This feed may be provided for display to the viewing user.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Methods and systems for storage of media item metadata,2015-01-01,Grant,"The various embodiments described herein include methods and systems for storage of media item metadata. In one aspect, a method is performed at a server system with one or more processors and memory. The method includes receiving, from a client device, metadata corresponding to a modified media item, where the modified media item is a modified version of a media item corresponding to a particular node in a family tree within a database of media items. The method further includes, in response to receiving the metadata corresponding to the modified media item, appending, to the family tree, a new leaf node that is linked to the particular node, where the new leaf node corresponds to the modified media item.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Native application testing,2016-01-01,Grant,"In one embodiment, a method includes deploying an application to a plurality of client systems associated with a plurality of users, respectively, wherein the application is installed on each of the client systems, and wherein one or more treatments can be remotely activated on the application, receiving, from a first client system associated with a first user of the plurality of users, a request from the application installed on the first client system to access the application server, determining whether the first user belongs in a treatment group associated with a first treatment, remotely activating the first treatment on the first client system associated with the first user if the first user belongs in the treatment group, and synchronizing activation of the first treatment in response to subsequent access by the first client system.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
User search based on private information,2015-01-01,Grant,"In one embodiment, a method includes receiving, from a first user, a query specifying one or more criteria; accessing a data store comprising information associated with one or more users of a social-networking system; identifying a second user from a plurality of users of the social-networking system based on private information stored in the data store and the one or more criteria, wherein the private information is not viewable by the first user; and sending, to the first user, substitute information associated with the second user in place of the private information, the substitute information being information that is viewable by the first user.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Social context in augmented reality,2012-01-01,Grant,"In one embodiment, a method includes receiving first information about a proximity of a first user, the first information comprising one or more images or one or more sounds of at least a portion of the proximity, the first information having been obtained from the proximity by a client computing device of the first user automatically and with one or more sensors of the client computing device; identifying a second user within the proximity of the first user based at least in part on the first information; retrieving second information about the second user from a graph of a social-networking system, the graph comprising a plurality of nodes and edges connecting the nodes, at least one node in the graph corresponding to the first user, at least one node in the graph corresponding to the second user; and sending the second information about the second user to the first user.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Depth mapping with a head mounted display using stereo cameras and structured light,2017-01-01,Grant,"A tracking system generates a structured light pattern in a local area. The system includes an array of lasers that generate light. The array of lasers includes a plurality of lasers and an optical element. The plurality of lasers are grouped into at least two subsets of lasers, and each of the at least two subsets of lasers is independently switchable. The optical element includes a plurality of cells that are each aligned with a respective subset of the array of lasers. Each cell receives light from a corresponding laser of the array of lasers, and each cell individually applies a modulation to the received light passing through the cell to form a corresponding portion of the structured light pattern that is projected onto a local area.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Encouraging support of an entity based upon social networking post content,2015-01-01,Grant,"Exemplary methods, apparatuses, and systems receive a first input that is associated with a first user profile of a social networking system. The first input includes content, such as a string of text, to be published to the system. A key word is mapped from the received content to an entity and additional content that is an affirmation of support for the entity is suggested for inclusion with the received content. The suggestion of the additional content is transmitted to a user device associated with the first user. A second input confirming the inclusion of the additional content is received. The received content and the additional content are published to the social networking system as a post associated with the first user profile.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Scrolling 3D presentation of images,2012-01-01,Grant,"Particular embodiments receive a request to display images in a scrolling 3D presentation. Images are retrieved according to selection criteria. The images may be sorted according to sorting criteria. Sponsored images may be inserted into the scrolling 3D presentation. The scrolling 3D presentation of images is provided for display on a computing device associated with a viewer. Images in the scrolling 3D presentation are rendered so as to sequentially approach the viewer according to a perspective of the viewer. Control requests related to the scrolling 3D presentation may be received from the viewer, from a social-networking system, or from a third-party server. A control interface may be provided for the viewer to submit control requests.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"IMAGE DATA PROCESSING OR GENERATION, IN GENERAL"
Methods and systems for accessing relevant content,2014-01-01,Grant,"A server system receives a first request for access to content items from a user device associated with a user. In response to the first request, links to a plurality of content categories are sent for display on the user device. The content categories include a plurality of content items. Furthermore, a first group of content items determined to be relevant to the user is identified in accordance with one or more relevance criteria. The first group of content items includes a first subset of the plurality of content items. In response to the first request, links to the first group of content items are sent for display on the user device in addition to the plurality of content categories.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Ranking search results using diversity groups,2013-01-01,Grant,"In one embodiment, a method includes receiving a plurality of search results based on a search query from a user. A computing system determines a plurality of scores for each search result, each score generated by applying a distinct scoring function of a plurality of scoring functions to the search result. The computing system generates a plurality of diversity groups, each diversity group corresponding to a scoring function of the plurality of scoring functions, each diversity group including at least a subset of the plurality of search results ordered according to the scores generated by applying the scoring function to the at least the subset of the plurality of search results. The method further includes selecting at least one of the plurality of search results from each diversity group and sending the selected search results to the user.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
