2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"('synchronizing', 1)","('software', 1)","('method', 2)","('social', 4)","('recipient', 3)","('social', 9)","('social', 10)","('social', 14)","('social', 10)","('social', 59)","('social', 96)","('social', 153)","('social', 174)","('social', 152)","('social', 76)","('social', 66)","('systems', 17)","('techniques', 1)"
"('proximity', 1)","('recommendations/suggestions', 1)","('wallet', 1)","('network', 4)","('sender', 2)","('network', 7)","('network', 9)","('network', 9)","('using', 7)","('user', 31)","('networking', 52)","('user', 131)","('networking', 101)","('user', 78)","('user', 57)","('user', 50)","('techniques', 16)","('platforms', 1)"
"('playback', 1)","('providing', 1)","('targeted', 1)","('managing', 4)","(""'s"", 2)","('user', 3)","('web-based', 4)","('topics', 4)","('user', 7)","('networking', 27)","('user', 38)","('networking', 99)","('user', 98)","('based', 69)","('based', 47)","('networking', 35)","('methods', 16)","('messaging', 1)"
"('device', 1)","('process', 1)","('linking', 1)","('search', 3)","('status', 1)","('generating', 3)","('systems', 4)","('information', 4)","('method', 7)","('information', 23)","('content', 27)","('based', 93)","('content', 61)","('content', 62)","('systems', 45)","('systems', 33)","('social', 13)","('location-based', 1)"
"('audio', 1)","('multidimensional', 1)","('internet', 1)","('results', 2)","('presenting', 1)","('content', 3)","('speech', 3)","('applications', 4)","('information', 7)","('network', 18)","('interface', 24)","('systems', 48)","('systems', 59)","('networking', 61)","('techniques', 44)","('methods', 33)","('user', 11)","('experience', 1)"
"('überfeed', 0)","('arrangement', 1)","('electronic', 1)","('online', 2)","('option', 1)","('systems', 2)","('methods', 3)","('user', 3)","('web', 6)","('search', 17)","('network', 22)","('methods', 48)","('methods', 57)","('systems', 58)","('networking', 39)","('content', 25)","('network', 11)","('distribution', 1)"
"('zooming', 0)","('überfeed', 0)","('distributing', 1)","('method', 2)","('online', 1)","('remote', 2)","('geographic', 3)","('systems', 3)","('documents', 6)","('based', 16)","('data', 21)","('users', 46)","('online', 44)","('online', 54)","('methods', 38)","('based', 23)","('based', 11)","('coordinating', 1)"
"('zoom', 0)","('zooming', 0)","('conversion', 1)","('members', 2)","('message', 1)","('relationships', 2)","('environment', 3)","('sharing', 3)","('networking', 5)","('using', 14)","('based', 21)","('using', 45)","('based', 42)","('methods', 51)","('data', 29)","('techniques', 22)","('requests', 9)","('content', 1)"
"('zones', 0)","('zoom', 0)","('advertisements', 1)","('based', 2)","('instant', 1)","('providing', 2)","('users', 2)","('providing', 3)","('network', 5)","('users', 14)","('information', 20)","('content', 45)","('data', 40)","('network', 48)","('online', 28)","('using', 20)","('processing', 8)","('aggregation', 1)"
"('zero-rated', 0)","('zones', 0)","('account', 1)","('separation', 1)","('e-mail', 1)","('newsfeed', 2)","('time', 2)","('networking', 3)","('data', 5)","('results', 14)","('display', 18)","('information', 43)","('information', 37)","('techniques', 42)","('content', 28)","('network', 19)","('networking', 7)","('überfeed', 0)"
