2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"('synchronizing', 0.6808966887487482)","('recommendationssuggestions', 0.5335102437351632)","('distributing', 0.4313723557742661)","('managing', 0.37652643865605406)","('recipient', 0.637410552200256)","('social', 0.4764684705220462)","('social', 0.4286073352755911)","('social', 0.4937219221597386)","('social', 0.23319286323145977)","('social', 0.5361149888872111)","('social', 0.5575698183234109)","('user', 0.4309739548491713)","('social', 0.5007447687033797)","('social', 0.4690721725901003)","('user', 0.36195560744682864)","('social', 0.41149019032028084)","('techniques', 0.3626890611378513)","('platforms', 0.4674111820469513)"
"('playback', 0.4185387676906797)","('arrangement', 0.47957817081433807)","('wallet', 0.37757637260725185)","('social', 0.3367590382885096)","('sender', 0.5049794503607075)","('network', 0.37058658818381374)","('network', 0.385746601748032)","('network', 0.3173926642455462)","('using', 0.20531009164953015)","('user', 0.41290993040531854)","('networking', 0.3376817451595556)","('social', 0.39243198525439554)","('user', 0.3375756290561616)","('user', 0.32611968617775033)","('social', 0.361539265001524)","('user', 0.39531904305908067)","('user', 0.23473762616390215)","('coordinating', 0.4674111820469513)"
"('proximity', 0.3659076374658886)","('multidimensional', 0.4035651833140305)","('targeted', 0.37757637260725185)","('network', 0.3367590382885096)","('option', 0.25248972518035373)","('remote', 0.23083018433876915)","('webbased', 0.2827232108783772)","('application', 0.1971517315488219)","('web', 0.19989744417643657)","('networking', 0.2743127020308395)","('user', 0.3253005726566544)","('networking', 0.2839124106117217)","('networking', 0.324986082220372)","('network', 0.24996609197235609)","('techniques', 0.2990441362943075)","('networking', 0.24398313712055558)","('systems', 0.2306180559163411)","('experience', 0.3282472281098668)"
"('audio', 0.3659076374658886)","('process', 0.37466638668626384)","('internet', 0.3394075151209025)","('search', 0.31767096766744596)","('email', 0.25248972518035373)","('member', 0.19976063711181255)","('geographic', 0.19685831725301642)","('forum', 0.18924534696837)","('user', 0.19714518572805292)","('information', 0.22085879998424013)","('interface', 0.17202545980624923)","('based', 0.2259297732485548)","('content', 0.1855145348867194)","('networking', 0.21047578236021636)","('based', 0.2117665140997844)","('techniques', 0.19596520572152396)","('method', 0.22541486323123555)","('techniques', 0.3063154406698964)"
"('device', 0.30566027036437216)","('software', 0.3496331103932054)","('method', 0.3280812507047351)","('result', 0.22537096405732376)","('address', 0.23046538240096995)","('product', 0.18939618792129137)","('giving', 0.18687901655274797)","('user', 0.18633966654823764)","('information', 0.17250203751204632)","('search', 0.19429063211838796)","('content', 0.17185690630917588)","('method', 0.1627666108349803)","('method', 0.1553672860575475)","('content', 0.20219420543020522)","('networking', 0.20743531802249024)","('network', 0.18080629574679008)","('network', 0.22212721635039034)","('locationbased', 0.2869702331402038)"
"('überfeed', 0.0)","('providing', 0.24472132626513116)","('conversion', 0.30980144917274527)","('member', 0.21178064511163067)","('status', 0.19725546066473015)","('generating', 0.1881644637852452)","('speech', 0.18370525943545482)","('topics', 0.17567210947323952)","('apparatus', 0.1560608459534104)","('network', 0.1635605050842339)","('device', 0.16234699286517099)","('using', 0.14517187374233043)","('systems', 0.1415780952247165)","('based', 0.201679949328212)","('method', 0.19824950256150026)","('systems', 0.17427366937182542)","('social', 0.20626098661107672)","('aggregation', 0.2869702331402038)"
"('zooming', 0.0)","('überfeed', 0.0)","('linking', 0.2856115319538883)","('payperclick', 0.20968999749431377)","('instant', 0.19725546066473015)","('user', 0.1678393723349693)","('method', 0.16238172176327242)","('discourse', 0.17567210947323952)","('method', 0.15460760270854226)","('socialnetworking', 0.1625382269444498)","('display', 0.13992948206020903)","('device', 0.13478669998738305)","('data', 0.12870735929519683)","('techniques', 0.18517660095128266)","('device', 0.19679760940595228)","('content', 0.16471626794128358)","('processing', 0.16989180206605162)","('messaging', 0.2696653553241632)"
"('zoom', 0.0)","('zooming', 0.0)","('advertisement', 0.21783660851938175)","('click', 0.20968999749431377)","('presenting', 0.18407586777194784)","('content', 0.1678393723349693)","('gift', 0.1533342506265362)","('discussing', 0.1537642293839516)","('phased', 0.15382152758615)","('using', 0.1600040499798489)","('data', 0.13637147400674363)","('content', 0.12197376080636922)","('network', 0.12662511392499257)","('method', 0.16075937989929942)","('network', 0.180769632500762)","('device', 0.1603317758220794)","('based', 0.1653042330362394)","('distribution', 0.2696653553241632)"
"('zone', 0.0)","('zoom', 0.0)","('account', 0.21783660851938175)","('predetermined', 0.1835397831273126)","('message', 0.12884160325632427)","('newsfeed', 0.1512733378050442)","('location', 0.152337052639332)","('demographic', 0.1537642293839516)","('page', 0.14665006546395012)","('based', 0.13770302217929453)","('network', 0.13358443563998387)","('information', 0.1165527047705306)","('online', 0.1253841255903015)","('online', 0.15783648208294854)","('systems', 0.17020333786460737)","('using', 0.1568348411645023)","('display', 0.14865532680779517)","('content', 0.22657348631082036)"
"('zerorated', 0.0)","('zone', 0.0)","('electronic', 0.18302684740140648)","('forwarded', 0.1835397831273126)","('online', 0.12203198387896237)","('method', 0.15042861737215085)","('environment', 0.152337052639332)","('information', 0.1490717332385901)","('editing', 0.13709578380717877)","('ranking', 0.12162269859804099)","('graphical', 0.12438176183129691)","('navigation', 0.11058169350761178)","('methods', 0.11944778876904602)","('systems', 0.1552690197739301)","('data', 0.15424677493980044)","('method', 0.153534666535114)","('device', 0.1419188036408253)","('überfeed', 0.0)"
