track_name,track_id,album,artist,audio_features,danceability,energy,key,loudness,mode,apeechiness,acousticness,instrumentalness,liveness,valence,tempo
In My Blood,21YnmkSDhUkmkkni22Svc4,Shawn Mendes,Shawn Mendes,"{'danceability': 0.618, 'energy': 0.711, 'key': 5, 'loudness': -7.248, 'mode': 1, 'speechiness': 0.0706, 'acousticness': 0.0544, 'instrumentalness': 0, 'liveness': 0.125, 'valence': 0.488, 'tempo': 139.967, 'type': 'audio_features', 'id': '21YnmkSDhUkmkkni22Svc4', 'uri': 'spotify:track:21YnmkSDhUkmkkni22Svc4', 'track_href': 'https://api.spotify.com/v1/tracks/21YnmkSDhUkmkkni22Svc4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/21YnmkSDhUkmkkni22Svc4', 'duration_ms': 211360, 'time_signature': 4}",0.618,0.711,5,-7.248,1,0.0706,0.0544,0.0,0.125,0.488,139.967
Nervous,0Dq49j3dELbttQVUJbtn0c,Shawn Mendes,Shawn Mendes,"{'danceability': 0.844, 'energy': 0.62, 'key': 0, 'loudness': -6.783, 'mode': 1, 'speechiness': 0.0812, 'acousticness': 0.0422, 'instrumentalness': 0, 'liveness': 0.15, 'valence': 0.724, 'tempo': 121.989, 'type': 'audio_features', 'id': '0Dq49j3dELbttQVUJbtn0c', 'uri': 'spotify:track:0Dq49j3dELbttQVUJbtn0c', 'track_href': 'https://api.spotify.com/v1/tracks/0Dq49j3dELbttQVUJbtn0c', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0Dq49j3dELbttQVUJbtn0c', 'duration_ms': 164147, 'time_signature': 4}",0.844,0.62,0,-6.783,1,0.0812,0.0422,0.0,0.15,0.724,121.989
Lost In Japan,6WBTeFDEfAJbaSUUc1V1xQ,Shawn Mendes,Shawn Mendes,"{'danceability': 0.708, 'energy': 0.695, 'key': 10, 'loudness': -6.89, 'mode': 1, 'speechiness': 0.372, 'acousticness': 0.296, 'instrumentalness': 0, 'liveness': 0.156, 'valence': 0.444, 'tempo': 105.038, 'type': 'audio_features', 'id': '6WBTeFDEfAJbaSUUc1V1xQ', 'uri': 'spotify:track:6WBTeFDEfAJbaSUUc1V1xQ', 'track_href': 'https://api.spotify.com/v1/tracks/6WBTeFDEfAJbaSUUc1V1xQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6WBTeFDEfAJbaSUUc1V1xQ', 'duration_ms': 201200, 'time_signature': 4}",0.708,0.695,10,-6.89,1,0.372,0.296,0.0,0.156,0.444,105.038
Where Were You In The Morning?,51wrmElSLxFzc0vSQPeTxs,Shawn Mendes,Shawn Mendes,"{'danceability': 0.714, 'energy': 0.519, 'key': 7, 'loudness': -7.437, 'mode': 1, 'speechiness': 0.0708, 'acousticness': 0.549, 'instrumentalness': 0, 'liveness': 0.0993, 'valence': 0.466, 'tempo': 88.02, 'type': 'audio_features', 'id': '51wrmElSLxFzc0vSQPeTxs', 'uri': 'spotify:track:51wrmElSLxFzc0vSQPeTxs', 'track_href': 'https://api.spotify.com/v1/tracks/51wrmElSLxFzc0vSQPeTxs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/51wrmElSLxFzc0vSQPeTxs', 'duration_ms': 200600, 'time_signature': 4}",0.714,0.519,7,-7.437,1,0.0708,0.549,0.0,0.0993,0.466,88.02
Like To Be You feat. Julia Michaels,5QskYLFPX9y7pLU0VEMNbr,Shawn Mendes,Shawn Mendes,"{'danceability': 0.747, 'energy': 0.452, 'key': 2, 'loudness': -9.336, 'mode': 1, 'speechiness': 0.209, 'acousticness': 0.804, 'instrumentalness': 0, 'liveness': 0.108, 'valence': 0.649, 'tempo': 153.849, 'type': 'audio_features', 'id': '5QskYLFPX9y7pLU0VEMNbr', 'uri': 'spotify:track:5QskYLFPX9y7pLU0VEMNbr', 'track_href': 'https://api.spotify.com/v1/tracks/5QskYLFPX9y7pLU0VEMNbr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5QskYLFPX9y7pLU0VEMNbr', 'duration_ms': 159400, 'time_signature': 4}",0.747,0.452,2,-9.336,1,0.209,0.804,0.0,0.108,0.649,153.849
Fallin' All In You,5I8oEqbk2ZBmQfXCrZbUFb,Shawn Mendes,Shawn Mendes,"{'danceability': 0.852, 'energy': 0.479, 'key': 8, 'loudness': -6.834, 'mode': 1, 'speechiness': 0.0372, 'acousticness': 0.446, 'instrumentalness': 0, 'liveness': 0.112, 'valence': 0.777, 'tempo': 92.039, 'type': 'audio_features', 'id': '5I8oEqbk2ZBmQfXCrZbUFb', 'uri': 'spotify:track:5I8oEqbk2ZBmQfXCrZbUFb', 'track_href': 'https://api.spotify.com/v1/tracks/5I8oEqbk2ZBmQfXCrZbUFb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5I8oEqbk2ZBmQfXCrZbUFb', 'duration_ms': 235747, 'time_signature': 4}",0.852,0.479,8,-6.834,1,0.0372,0.446,0.0,0.112,0.777,92.039
Particular Taste,1mmAqhLcvPrknbslMiDlyU,Shawn Mendes,Shawn Mendes,"{'danceability': 0.967, 'energy': 0.339, 'key': 9, 'loudness': -7.581, 'mode': 1, 'speechiness': 0.149, 'acousticness': 0.0352, 'instrumentalness': 2.55e-05, 'liveness': 0.0702, 'valence': 0.598, 'tempo': 111.978, 'type': 'audio_features', 'id': '1mmAqhLcvPrknbslMiDlyU', 'uri': 'spotify:track:1mmAqhLcvPrknbslMiDlyU', 'track_href': 'https://api.spotify.com/v1/tracks/1mmAqhLcvPrknbslMiDlyU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1mmAqhLcvPrknbslMiDlyU', 'duration_ms': 175573, 'time_signature': 4}",0.967,0.339,9,-7.581,1,0.149,0.0352,2.55e-05,0.0702,0.598,111.978
Why,1KXFoiT2n4QXRsFvhWNI4I,Shawn Mendes,Shawn Mendes,"{'danceability': 0.698, 'energy': 0.427, 'key': 0, 'loudness': -9.186, 'mode': 0, 'speechiness': 0.0458, 'acousticness': 0.695, 'instrumentalness': 1.36e-06, 'liveness': 0.0672, 'valence': 0.254, 'tempo': 127.122, 'type': 'audio_features', 'id': '1KXFoiT2n4QXRsFvhWNI4I', 'uri': 'spotify:track:1KXFoiT2n4QXRsFvhWNI4I', 'track_href': 'https://api.spotify.com/v1/tracks/1KXFoiT2n4QXRsFvhWNI4I', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1KXFoiT2n4QXRsFvhWNI4I', 'duration_ms': 238173, 'time_signature': 4}",0.698,0.427,0,-9.186,0,0.0458,0.695,1.36e-06,0.0672,0.254,127.122
Because I Had You,7hlhojpax9zg2FNdBLY5ox,Shawn Mendes,Shawn Mendes,"{'danceability': 0.585, 'energy': 0.331, 'key': 7, 'loudness': -9.9, 'mode': 1, 'speechiness': 0.483, 'acousticness': 0.348, 'instrumentalness': 0, 'liveness': 0.296, 'valence': 0.713, 'tempo': 202.65, 'type': 'audio_features', 'id': '7hlhojpax9zg2FNdBLY5ox', 'uri': 'spotify:track:7hlhojpax9zg2FNdBLY5ox', 'track_href': 'https://api.spotify.com/v1/tracks/7hlhojpax9zg2FNdBLY5ox', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7hlhojpax9zg2FNdBLY5ox', 'duration_ms': 142480, 'time_signature': 4}",0.585,0.331,7,-9.9,1,0.483,0.348,0.0,0.296,0.713,202.65
Queen,17FyWGvqby379Q92sn23jW,Shawn Mendes,Shawn Mendes,"{'danceability': 0.879, 'energy': 0.677, 'key': 1, 'loudness': -7.23, 'mode': 1, 'speechiness': 0.122, 'acousticness': 0.21, 'instrumentalness': 0, 'liveness': 0.0942, 'valence': 0.896, 'tempo': 131.052, 'type': 'audio_features', 'id': '17FyWGvqby379Q92sn23jW', 'uri': 'spotify:track:17FyWGvqby379Q92sn23jW', 'track_href': 'https://api.spotify.com/v1/tracks/17FyWGvqby379Q92sn23jW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/17FyWGvqby379Q92sn23jW', 'duration_ms': 204693, 'time_signature': 4}",0.879,0.677,1,-7.23,1,0.122,0.21,0.0,0.0942,0.896,131.052
Youth feat. Khalid,5SwEgzUFDHwpWHKrbnP32Z,Shawn Mendes,Shawn Mendes,"{'danceability': 0.62, 'energy': 0.594, 'key': 11, 'loudness': -6.678, 'mode': 0, 'speechiness': 0.0775, 'acousticness': 0.578, 'instrumentalness': 0, 'liveness': 0.147, 'valence': 0.312, 'tempo': 99.962, 'type': 'audio_features', 'id': '5SwEgzUFDHwpWHKrbnP32Z', 'uri': 'spotify:track:5SwEgzUFDHwpWHKrbnP32Z', 'track_href': 'https://api.spotify.com/v1/tracks/5SwEgzUFDHwpWHKrbnP32Z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5SwEgzUFDHwpWHKrbnP32Z', 'duration_ms': 190867, 'time_signature': 4}",0.62,0.594,11,-6.678,0,0.0775,0.578,0.0,0.147,0.312,99.962
