word,Handwritten (Deluxe),word,Illuminate (Deluxe),word,Nine Track Mind (Deluxe),word,Shawn Mendes,word,Voicenotes
know,126,know,80,run,84,get,72,baby,115
oh,106,na,50,love,75,yeah,58,oh,68
air,77,baby,46,river,70,know,46,tell,47
ah,72,'cause,40,left,52,baby,36,yeah,39
got,35,got,38,oh,48,little,34,way,37
'cause,34,please,36,nothing,38,away,32,got,36
time,34,mercy,34,right,38,take,30,know,34
na,34,yeah,31,got,33,think,26,na,30
yeah,33,say,31,know,33,could,23,boy,26
love,32,oh,30,mind,32,want,23,one,26
let,27,love,28,make,31,mind,22,love,23
tell,27,heart,27,baby,27,youth,21,girl,23
ah-ah,24,keep,26,one,27,got,21,ooh-ooh-ooh,23
back,23,take,26,anymore,26,wrong,20,miss,22
wah,22,let,25,feel,25,time,19,get,22
go,22,need,24,'cause,23,never,18,i'ma,21
feel,21,tell,23,get,21,'cause,18,doin,20
mean,21,trying,23,talk,20,let,18,please,20
baby,21,way,22,na,20,around,17,girls,19
one,20,darling,22,never,18,tell,17,another,19
never,20,see,21,yeah,17,somebody,17,la,18
say,20,hold,20,type,17,perfectly,17,ta,18
something,20,honest,20,away,17,oh,16,treat,18
get,20,wo,19,beautiful,16,ready,16,wo,17
alone,18,lost,18,could,16,tonight,16,go,17
maybe,18,better,17,say,15,every,14,'cause,17
take,18,go,17,loved,14,wo,14,could,16
want,18,would,17,losing,14,say,14,'em,16
make,16,even,16,wo,14,waitin,13,done,16
strings,16,crazy,15,let,14,break,13,maybe,16
need,16,understand,14,time,14,made,12,leave,15
little,15,one,14,suffer,13,put,12,want,15
last,14,time,14,want,13,leave,12,knew,14
takes,13,hurt,14,lose,12,particular,12,say,14
lift,13,get,13,take,12,mine,12,slow,13
seem,13,feel,13,trouble,12,queen,11,somebody,13
would,13,going,13,said,12,walk,11,patient,12
weight,13,every,13,every,11,help,11,never,12
hold,13,nothing,13,call,11,lost,11,hate,11
close,12,begging,13,gon,11,right,11,honestly,11
he-ey,12,mind,13,gaye,11,look,11,believe,11
