word,Charlie Puth,word,Shawn Mendes
baby,142,know,252
oh,116,oh,152
love,98,yeah,122
run,86,get,105
river,70,baby,103
got,69,got,94
know,67,'cause,92
left,56,na,88
yeah,56,air,82
one,53,take,74
tell,52,ah,73
na,50,love,70
way,48,let,70
right,46,tell,67
get,43,time,67
nothing,41,say,65
'cause,40,little,53
make,37,need,50
girl,33,never,48
mind,33,want,48
could,32,away,47
wo,31,go,47
never,30,heart,45
say,29,wo,44
want,28,feel,44
anymore,27,one,43
boy,26,keep,42
go,26,way,41
feel,25,back,40
girls,24,please,40
ooh-ooh-ooh,23,think,39
talk,23,see,37
please,23,could,37
take,22,mercy,36
miss,22,trying,36
ta,22,mind,35
let,21,hold,33
i'ma,21,every,33
maybe,21,mean,32
doin,20,lost,32
done,19,even,30
another,19,would,30
gon,19,much,29
away,19,make,28
said,19,right,28
time,18,wrong,28
things,18,something,27
treat,18,alone,27
la,18,said,26
knew,18,ever,26
leave,17,night,25
type,17,maybe,24
give,17,though,24
'em,16,tonight,24
beautiful,16,darling,24
change,15,ta,24
somebody,15,ah-ah,24
loved,15,crazy,23
night,14,better,23
losing,14,hard,22
wanted,14,honest,22
every,14,around,22
going,13,wah,22
trouble,13,leave,22
lose,13,youth,21
call,13,break,21
even,13,seem,21
honestly,13,gon,19
suffer,13,girl,19
world,13,look,19
slow,13,help,19
day,12,life,19
patient,12,really,19
would,12,begging,18
always,12,sometimes,18
hate,12,nothing,18
marvin,11,somebody,18
need,11,going,17
find,11,strings,17
room,11,feeling,17
real,11,perfectly,17
heart,11,long,17
gaye,11,knows,17
believe,11,stop,16
long,11,takes,16
look,11,ready,16
fall,10,understand,16
crazy,10,promise,16
see,10,words,16
party,10,enough,16
empty,10,come,16
messing,10,try,16
come,10,always,16
think,10,treat,16
goin,10,close,16
cups,10,grow,16
looking,10,us,16
wait,10,last,15
hang,9,wait,15
noticed,9,hate,15
trust,9,weight,15
walk,9,hurt,15
body,9,remember,15
round,9,might,15
knows,9,gets,15
hands,9,thought,15
dangerously,9,wake,15
enough,9,walk,15
used,9,forget,14
different,9,bad,14
better,9,hands,14
dress,9,sorry,14
lately,8,guess,14
judge,8,move,14
little,8,put,14
huh,8,mine,14
times,8,waitin,13
much,8,holding,13
play,8,morning,13
save,8,lift,13
shady,8,falling,13
around,8,summer,13
attention,8,care,13
still,8,bit,13
wrong,8,start,13
either,8,stay,13
ai,8,alright,13
ooh-oh,8,thinking,13
dawn,8,without,13
crime,8,name,12
close,7,give,12
try,7,coming,12
lie,7,nobody,12
gettin,7,beautiful,12
care,7,made,12
along,7,attached,12
us,7,still,12
turn,7,goes,12
young,7,he-ey,12
tryna,7,particular,12
nobody,7,face,12
keep,7,someone,12
start,7,promises,12
back,7,making,12
alone,7,change,12
eyes,7,apart,12
thinking,7,lights,12
gone,7,breathe,11
known,7,excited,11
phone,7,home,11
show,6,fall,11
dare,6,talk,11
new,6,eyes,11
ooh-ooh,6,first,11
step,6,kid,11
someone,6,saying,11
wearing,6,left,11
already,6,big,11
man,6,babe,11
almost,6,queen,11
runnin,6,free,11
friend,6,today,10
song,6,three,10
thought,6,moment,10
afraid,6,fool,10
lover,6,afraid,10
believed,6,everything,10
