,album,artist,lyrics,song,sentiments
0,Shawn Mendes,Shawn Mendes,"Help me, it's like the walls are caving in
Sometimes I feel like giving up
But I just can't
It isn't in my blood

Laying on the bathroom floor, feeling nothing
I'm overwhelmed and insecure, give me something
I could take to ease my mind slowly
Just have a drink and you'll feel better
Just take her home and you'll feel better
Keep telling me that it gets better
Does it ever?

Help me, it's like the walls are caving in
Sometimes I feel like giving up
No medicine is strong enough
Someone help me
I'm crawling in my skin
Sometimes I feel like giving up
But I just can't
It isn't in my blood

It isn't in my blood

Looking through my phone again feeling anxious
Afraid to be alone again, I hate this
I'm trying to find a way to chill, can't breathe, oh
Is there somebody who could...

Help me, it's like the walls are caving in
Sometimes I feel like giving up
No medicine is strong enough
Someone help me
I'm crawling in my skin
Sometimes I feel like giving up
But I just can't
It isn't in my blood

It isn't in my blood

I need somebody now
I need somebody now
Someone to help me out
I need somebody now

Help me, it's like the walls are caving in
Sometimes I feel like giving up
But I just can't
It isn't in my blood

It isn't in my blood
It isn't in my blood
I need somebody now
It isn't in my blood
I need somebody now
It isn't in my blood",In My Blood,"[{'score': 0.605138, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.980142, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
1,Shawn Mendes,Shawn Mendes,"I saw you on a Sunday in a café
And all you did was look my way
And my heart started to race
And my hands started to shake, yeah
I heard you asked about me through a friend
My adrenaline kicked in
'Cause I've been askin' 'bout you too
And now we're out here in this room

I get a little bit nervous around you
Get a little bit stressed out when I think about you
Get a little excited
Baby, when I think about you, yeah
Talk a little too much around you
(I talk a little too much, yeah)
Get a little self-conscious when I think about you
(I get a little self-conscious)
Get a little excited
(I get a little excited)
Baby, when I think about you, yeah
Yeah, when I think about you, babe

We walked in the rain
A couple blocks to your apartment
You told me to come inside
Caught me staring in your eyes
And I'm not usually like this
But I like what you're doing to me
Ah, what you're doing to me

I get a little bit nervous around you
(I get a little bit nervous)
Get a little bit stressed out when I think about you
(I get a little bit stressed out)
Get a little excited
(I get a little excited)
Baby, when I think about you, yeah
Yeah, when I think about you, babe (oh yeah)
Talk a little too much around you
(I talk a little too much, yeah)
Get a little self-conscious when I think about you
(I get a little self-conscious)
Get a little excited
(I get a little excited)
Baby, when I think about you
Yeah, when I think about you, babe

You got me acting like I've never done this before
I promise I'll be ready when I walk through the door
And I don't know why
No, I don't know why
Yeah

I get a little bit nervous around you
(I get a little bit nervous)
Get a little bit stressed out when I think about you
(I get a little bit stressed out)
Get a little excited
(I get a little excited)
Baby, when I think about you, yeah
Yeah, when I think about you, babe
Talk a little too much around you
(I talk a little too much, baby)
Get a little self-conscious when I think about you
(I get a little self-conscious)
Get a little excited
(I get a little excited)
Baby, when I think about you
Yeah, when I think about you, babe",Nervous,"[{'score': 0.60734, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.568891, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2,Shawn Mendes,Shawn Mendes,"All it'd take is one flight
We'd be in the same time zone
Looking through your timeline
Seeing all the rainbows, I
I got an idea
And I know that it sounds crazy
I just wanna see ya
Oh, I gotta ask

Do you got plans tonight?
I'm a couple hundred miles from Japan, and I
I was thinking I could fly to your hotel tonight
'Cause I-I-I can't get you off my mind
Can't get you off my mind
Can't get you off my mind (oh)

I could feel the tension
We could cut it with a knife
I know it's more than just a friendship
I can hear you thinking 'bout it, yeah
Do I gotta convince you?
That you shouldn't fall asleep?
It'll only be a couple hours
And I'm about to leave

Do you got plans tonight?
I'm a couple hundred miles from Japan, and I
I was thinking I could fly to your hotel tonight
'Cause I-I-I can't get you off my mind
Can't get you off my mind
Can't get you off my mind

Do you got plans tonight?
I was hoping I could get lost in your paradise
The only thing I'm thinking 'bout is you and I
'Cause I-I-I can't get you off my mind
Can't get you off my mind
I can't seem to get you off my mind

Let's get lost tonight
Let's get lost tonight
Baby, you and
I can't seem to get you off my mind
Let's get lost tonight
Let's get lost tonight
Baby, you and
I can't seem to get you off my mind

Do you got plans tonight?
I'm a couple hundred miles from Japan, and I
I was thinking I could fly to your hotel tonight
'Cause I-I-I can't get you off my mind
I can't get you off my mind

Do you got plans tonight, baby?
I was hoping I could get lost in your paradise
The only thing I'm thinking 'bout is you and I
And I-I-I can't get you off my mind
Can't get you off my mind
I can't seem to get you off my mind, yeah

Let's get lost tonight
Let's get lost tonight
Baby, you and
I can't seem to get you off my mind
Let's get lost tonight
Let's get lost tonight
Baby, you and
I can't seem to get you off my mind",Lost In Japan,"[{'score': 0.501872, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.526492, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.857691, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
3,Shawn Mendes,Shawn Mendes,"You said, ""I wanna get to know ya""
Why you gotta get my hopes up?
You said that you were staying over
But then I woke up to the cold air

How could you make me believe?
That there was something in between you and me, yeah
I look around and I don't see you

Where were you in the morning, baby?
You didn't leave your number for me
Left me without a warning, baby
Where were you in the morning, baby?

How do you, how do you just walk away?
How do you, how do you just walk away?

And I thought you really felt this
When we were talking about breakfast
You made it seem like we connected
I guess I just didn't expect this

How could you make me believe?
That there was something in between you and me, yeah
I look around and I don't see you

Where were you in the morning, baby?
You didn't leave your number for me
Left me without a warning, baby
I said where were you in the morning, baby?

How do you, how do you just walk away?
Where were, where were you?
How do you, how do you just walk away?
Where were, where were you?

And I hope you had a good reason
'Cause I know you had a good time
And I'm looking up at the ceiling
And I keep wondering why

Where were you in the morning, baby?
Where were you in the morning?
You didn't leave your number for me
You didn't leave your number
Left me without a warning, babe
Left me without a warning
I said, where were you in the morning baby?
Where were you in the morning?

How do you, how do you just walk away?
Where were, where were you?
How do you, how do you just walk away?
Where were, where were you?
How do you, how do you just walk away?
Where were, where were you?
How do you, how do you just walk away?
Where were, where were you?",Where Were You In The Morning?,"[{'score': 0.517037, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.950266, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4,Shawn Mendes,Shawn Mendes,"Sunrise with you on my chest
No blinds in the place where I live
Daybreak open your eyes
'Cause this was only ever meant to be for one night
Still, we're changing our minds here
Be yours, be my dear
So close with you on my lips
Touch noses, feeling your breath
Push your heart and pull away, yeah
Be my summer in a winter day love
I can't see one thing wrong
Between the both of us
Be mine, be mine, yeah
Anytime, anytime

Ooh, you know I've been alone for quite a while, haven't I
I thought I knew it all
Found love but I was wrong
More times than enough
But since you came along
I'm thinking, baby

You are bringing out a different kind of me
There's no safety net that's underneath
I'm free
Falling all in you
Fell for men who weren't how they appear
Trapped up on a tightrope now we're here
We're free
Falling all in you

Fast forward a couple years, yeah
Grown up in the place that we live
Make love, then we fight
Laugh 'cause it was only meant to be for one night baby
I guess we can't control
What's just not up to us
Be mine, be mine, yeah
Anytime, anytime

Ooh, you know I've been alone for quite a while, haven't I
I thought I knew it all
Found love but I was wrong
More times than enough
But since you came along
I'm thinking, baby

You are bringing out a different kind of me
There's no safety net that's underneath
I'm free
Falling all in you
Fell for men who weren't how they appear
Trapped up on a tightrope now we're here
We're free
Falling all in you

Every time I see you baby I get lost
If I'm dreaming, baby, please don't wake me up
Every night I'm with you I fall more in love
Now I'm laying by your side
Everything feels right since you came along
I'm thinking baby

You, yeah, are bringing out a different kind of me
There's no safety net that's underneath
I'm free
Falling all in you
Fell for men who weren't how they appear (Ooh)
Trapped up on a tightrope now we're here
We're free
Falling all in",Fallin' All In You,"[{'score': 0.5962, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.836531, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
5,Shawn Mendes,Shawn Mendes,"She don't listen to a thing, 'less it feels right
Only dances when it's Kanye
She could take you one-on-one if she feels like
You'll be begging her for mercy, mercy

Ooh, she'll take your name and number
Then she'll hit erase and walk away
But ooh, is she so specific when she's at my place
At my place

She's got particular taste, yeah
She's so obsessed with the chase, yeah
She don't waste time on conversations, no
She just goes right for the face, yeah
She's so particular

Never pickin' up her phone 'less it rings twice
Only answers with a question, ""Mhm?""
If I try to play it cool, it never goes right
Got me drownin', drownin', uh

Ooh, she'll take your name and number
Then she'll hit erase and walk away
But oh, is she so specific when she's at my place
At my place

She's got particular taste, yeah
She's so obsessed with the chase, yeah
She don't waste time on conversations
No, she just goes right for the face (she just goes, she)
She's so particular

I'm so obsessed with her
Yeah, she's so particular
I'm so obsessed with her
Yeah, she's so particular

She's the best at getcha' thinkin' that she don't care
Knows exactly what she wants, uh
Now she's runnin' all her fingers right through my hair
And it means that

She's got particular taste
She's got particular taste
She's so obsessed with the chase, yeah
She don't waste time on conversations
No, she just goes right for the face (she just goes, she)
She's so particular

I'm so obsessed with her
Yeah, she's so particular (she just goes, she)
I'm so obsessed with her (she's so particular, she just goes)
Yeah, she's got particular taste",Particular Taste,"[{'score': 0.62196, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.602106, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6,Shawn Mendes,Shawn Mendes,"I know a girl, she's like a curse
We want each other, no one will break first
So many nights, trying to find someone new
They don't mean nothing compared to her, and I know

When people ask about us, now, we just brush it off
I don't know why we act like it means nothing at all
I wish that I could tell you that you're all that I want, yeah

I pretend that
I'm not ready
Why do we put each other through hell?
Why can't we just get over ourselves?
And you say ""hi"" like
You just met me
Why do we put each other through hell?
Why can't we just get over ourselves?
Why can't we just get over ourselves?

When I hear you sing, it gets hard to breathe
Can't help but think every song's about me
And every line, every word that I write
You are the muse in the back of my mind, oh

Don't wanna ask about it 'cause you might brush it off
I'm afraid you think that it means nothing at all
I don't know why I won't admit that you're all I want

I pretend that
I'm not ready
Why do we put each other through hell?
Why can't we just get over ourselves?
And you say ""hi"" like
You just met me
Why do we put each other through hell?
Why can't we just get over ourselves?

(Instrumental)

I pretend that
I'm not ready
Why do we put each other through hell?
Why can't we just get over ourselves?
And you say ""hi"" like
You just met me
Why do we put each other through hell?
Why can't we just get over ourselves?

I know a girl, she's like a curse
We want each other, no one will break first
So many nights, trying to find someone new
They don't mean nothing compared to you",Why,"[{'score': 0.67259, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.916478, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7,Shawn Mendes,Shawn Mendes,"I think it's time that I be honest
Should've told you not to go
Thought I knew just what I wanted
I didn't know myself at all

You're with somebody I can't be, yeah
But I can tell that you're happy

It's time for me to finally meet somebody new
Take her to all the places that I took us to
And she might help me forget
But loving her is something I could never do
Because I had, because I had you

Hey, remember when I told you
That you and I will go down in history together, yeah
And does your sister ask about me?
You and I, what we had, is it gone forever?

You're with somebody I can't be
But I can tell that you're happy

It's time for me to finally meet somebody new
Take her to all the places that I took us to
And she might help me forget but loving her is something I could never do
Because I had, because I had you

There's nothin', oh
There's nothin' left to lose
Because I had you, babe
There's nothin'
Nothin' that I could do
I wish I had you

But I think it's time I finally found somebody new
And tell myself that she's the one that get me through
And she might help me forget but loving her is something I just couldn't do
Because I had you",Because I Had You,"[{'score': 0.557903, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.904708, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
8,Shawn Mendes,Shawn Mendes,"It's hard to believe
You don't remember me at all
Am I hard to recognize?
You say ""nice to meet you"" every time
Yeah and I made you laugh
I still remember what I said
Guess I shouldn't be surprised
You say ""nice to meet you"" every time

I know we got a lot of mutual friends
Don't say my name, don't come up in your conversations, yeah

Who crowned you queen of
You think you're too cool
Making beautiful look ugly
The way you put yourself above me
You treat me
Like I got nothin' on you
Making beautiful look ugly
You ain't the ruler of no country
Who made you the queen?

I shouldn't stress about
The fact you're not impressed
Are you playing hard to get?
Or maybe you're not interested
I don't understand
Why everybody thinks you're sweet
'Cause I see the opposite
No, you're not so innocent

I see the way you're lookin' through me right now
To see if there's somebody cooler around, yeah

Who crowned you queen of
You think you're too cool
Making beautiful look ugly
The way you put yourself above me
You treat me
Like I got nothin' on you
Making beautiful look ugly
You ain't the ruler of no country
Who made you the queen?

No, no, no, no
Who made you the queen?
Who made you the queen?

Who crowned you queen of
You think you're too cool
Making beautiful look ugly
The way you put yourself above me (nah, yeah)
You treat me
Like I got nothin' on you
Making beautiful look ugly (making beautiful look ugly)
You ain't the ruler of no country (you ain't the ruler of no country babe)

Who made you the queen?
Who made you the queen?
Yeah, you think you're too cool, no
Who made you the queen?
Who made you the queen?",Queen,"[{'score': 0.565925, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.700579, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
9,Shawn Mendes,Shawn Mendes,"I want you close to me
I want you close, I want you closer
But when you're here with me
It's hard to tell just what you're after

You say, you want all of me today
But tomorrow's not the same
My feelings never change
What do you want from me?
What do you want, uh?

I need to know
If this is mutual
Before I go
And get way too involved
I want you bad
Can you reciprocate?
No, I don't want to have to leave
But half of you's not enough for me

This inconsistency, what does it mean?
You got me questioning, the way you act and take it back
Do I mean anything?
Just tell me honestly

You say, you want all of me today
But tomorrow's not the same
My feelings never change
What do you want from me?
What do you want, uh?

I need to know
If this is mutual
Before I go
And get way too involved
I want you bad
Can you reciprocate?
No, I don't want to have to leave
But half of you's not enough for me

Are you playin' me, is this a game?
When you show up late, say love at 2 A.M
Then tell me you can't stay, girl, yeah
What do you want from me?
Baby, oh

I need to know
If this is mutual
Before I go
And get way too involved
I want you bad, baby
Can you reciprocate?
No, I don't want to have to leave
But half of you's not enough for me",Mutual,"[{'score': 0.59863, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
