0,1,2,3,4,5,6,7,8,9
"('blood', 0.6163787768017122)","('giving', 0.29654778664474446)","('sometimes', 0.28196679361805893)","('help', 0.2812996671391807)","('caving', 0.24655151072068485)","('feel', 0.223779361291639)","('somebody', 0.22013166799231063)","('wall', 0.19769852442982966)","('need', 0.14258268428216167)","('better', 0.1294798468007812)"
"('little', 0.6521744303259924)","('excited', 0.35490322781469297)","('get', 0.32664239833078623)","('bit', 0.27427856445216214)","('think', 0.26959337625810087)","('self-conscious', 0.19358357880801436)","('stressed', 0.16131964900667864)","('nervous', 0.1471750411863455)","('yeah', 0.1412700073790746)","('talk', 0.12620949124095365)"
"('tonight', 0.46954490829833145)","('get', 0.4400210632137861)","('mind', 0.387126853379254)","('lost', 0.2827908399900864)","('i-i-i', 0.20955301397866713)","('seem', 0.201637320488405)","('plan', 0.17814289891094787)","('thinking', 0.16967450399405182)","('let', 0.15511828690809118)","('japan', 0.12573180838720027)"
"('morning', 0.5116271329404508)","('walk', 0.39237602764946367)","('away', 0.3158782447661728)","('warning', 0.274533828456346)","('number', 0.274533828456346)","('without', 0.21939783130662271)","('baby', 0.21195607023695678)","('left', 0.17429284195349598)","('leave', 0.1616585772405812)","('said', 0.1579391223830864)"
"('falling', 0.3227623135222004)","('free', 0.28947246199425725)","('mine', 0.20296105745293458)","('anytime', 0.20296105745293458)","('trapped', 0.1898358452983163)","('tightrope', 0.1898358452983163)","('since', 0.1898358452983163)","('safety', 0.1898358452983163)","('net', 0.1898358452983163)","('men', 0.1898358452983163)"
"('particular', 0.6641825060714549)","('obsessed', 0.35346883140476776)","('taste', 0.23526146357716815)","('goes', 0.22139416869048498)","('yeah', 0.17310549514787774)","('chase', 0.16604562651786373)","('right', 0.15669715924389788)","('place', 0.13561219371665204)","('waste', 0.12106282464466644)","('got', 0.11518322231784993)"
"('hell', 0.42964742324053334)","('put', 0.3538920881413756)","('hi', 0.25270137916984553)","('get', 0.25267825668943056)","('pretend', 0.20262982626725387)","('mean', 0.1951537636512983)","('ready', 0.19266669648898044)","('met', 0.19266669648898044)","('nothing', 0.18100731746304932)","('curse', 0.16846758611323034)"
"('nothin', 0.3645492204860828)","('finally', 0.32161984155745194)","('somebody', 0.31906207156159644)","('loving', 0.25789242952681446)","('new', 0.23449100887054275)","('forget', 0.21701225724381448)","('happy', 0.21441322770496796)","('help', 0.20968450333392458)","('might', 0.20305574360972545)","('something', 0.19700416011129843)"
"('queen', 0.5083394756652684)","('ugly', 0.3545784146221974)","('made', 0.3323840113721952)","('beautiful', 0.2843204211589349)","('making', 0.25852089773392956)","('ruler', 0.20261623692696995)","('country', 0.20261623692696995)","('look', 0.1904855680009783)","('cool', 0.16246881209081993)","('crowned', 0.15196217769522746)"
"('want', 0.6248546012586628)","('reciprocate', 0.2630820138925651)","('mutual', 0.2400148182099133)","('involved', 0.2400148182099133)","('half', 0.22364838241325827)","('bad', 0.22364838241325827)","('enough', 0.16114755525129965)","('uh', 0.14909892160883884)","('tomorrow', 0.14909892160883884)","('today', 0.14909892160883884)"
"('perfectly', 0.7875005264571606)","('wrong', 0.4823734725153298)","('yeah', 0.1448793869141908)","('hard', 0.11349964059184231)","('leave', 0.09954322482018)","('oh', 0.09580286996226337)","('sky', 0.09264712075966595)","('hate', 0.09060385737273509)","('much', 0.08773959610850127)","('break', 0.0827192872105945)"
"('waitin', 0.6306991417183179)","('ready', 0.44387345379445625)","('around', 0.2085060486024075)","('year', 0.17704586034410064)","('ten', 0.17704586034410064)","('even', 0.16860122300218713)","('single', 0.16497323196225186)","('tell', 0.15283553339527373)","('somebody', 0.14438846165108543)","('baby', 0.13668969329302047)"
"('holding', 0.5091664457551799)","('back', 0.36752044998210714)","('nothing', 0.3587653737043687)","('confessing', 0.22260734109575153)","('right', 0.21007441573770663)","('tear', 0.16695550582181365)","('manipulate', 0.16695550582181365)","('inhibition', 0.16695550582181365)","('decision', 0.16695550582181365)","('baby', 0.15679650294563782)"
"('ruin', 0.462205257223445)","('happiness', 0.462205257223445)","('ever', 0.41687829666648635)","('tryna', 0.31767559439526555)","('cross', 0.3011991506449131)","('darling', 0.2673188117133893)","('mind', 0.16941963057971265)","('one', 0.14620506021857324)","('said', 0.13862373109462672)","('know', 0.09662359386793619)"
"('mercy', 0.6859491172439283)","('please', 0.28395161488262893)","('would', 0.23316737840642082)","('begging', 0.23019586036183665)","('heart', 0.20168742267482345)","('even', 0.17487553380481563)","('though', 0.1697691034803982)","('tearing', 0.12833439827359772)","('easy', 0.11509793018091832)","('apart', 0.11509793018091832)"
