song,word_0,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9
In My Blood,"('blood', 10)","('feel', 8)","('help', 7)","('sometimes', 6)","('somebody', 6)","('giving', 6)","('need', 5)","('walls', 4)","('caving', 4)","('someone', 3)"
Nervous,"('little', 33)","('get', 27)","('think', 17)","('yeah', 14)","('excited', 11)","('bit', 10)","('baby', 7)","('talk', 6)","('self-conscious', 6)","('much', 6)"
Lost In Japan,"('get', 28)","('mind', 18)","('tonight', 16)","('lost', 10)","('let', 8)","('got', 8)","('could', 7)","('thinking', 6)","('seem', 6)","('plans', 5)"
Where Were You In The Morning?,"('walk', 8)","('morning', 8)","('baby', 8)","('away', 8)","('without', 4)","('warning', 4)","('said', 4)","('number', 4)","('left', 4)","('leave', 4)"
Fallin' All In You,"('free', 6)","('falling', 6)","('baby', 6)","('yeah', 5)","('love', 5)","('mine', 4)","('anytime', 4)","('wrong', 3)","('underneath', 3)","('trapped', 3)"
Particular Taste,"('particular', 12)","('yeah', 10)","('goes', 8)","('obsessed', 7)","('right', 6)","('got', 6)","('taste', 5)","('place', 4)","('waste', 3)","('time', 3)"
Why,"('get', 7)","('put', 6)","('hell', 6)","('know', 5)","('want', 4)","('nothing', 4)","('say', 3)","('ready', 3)","('pretend', 3)","('met', 3)"
Because I Had You,"('somebody', 5)","('time', 4)","('nothin', 4)","('could', 4)","('tell', 3)","('something', 3)","('new', 3)","('might', 3)","('loving', 3)","('help', 3)"
Queen,"('queen', 11)","('made', 9)","('ugly', 7)","('making', 7)","('look', 7)","('beautiful', 7)","('yeah', 5)","('way', 4)","('think', 4)","('ruler', 4)"
Mutual,"('want', 16)","('way', 4)","('tell', 3)","('say', 3)","('reciprocate', 3)","('need', 3)","('mutual', 3)","('leave', 3)","('know', 3)","('involved', 3)"
Perfectly Wrong,"('wrong', 17)","('perfectly', 17)","('yeah', 10)","('oh', 7)","('know', 6)","('leave', 4)","('hard', 4)","('much', 3)","('hate', 3)","('break', 3)"
When You're Ready,"('waitin', 13)","('ready', 12)","('tell', 8)","('baby', 8)","('around', 8)","('even', 6)","('somebody', 5)","('know', 5)","('years', 4)","('yeah', 4)"
There's Nothing Holdin' Me Back,"('nothing', 12)","('holding', 12)","('back', 12)","('right', 8)","('know', 8)","('baby', 8)","('take', 7)","('confessing', 4)","('tear', 3)","('shaking', 3)"
Ruin,"('ever', 10)","('ruin', 7)","('happiness', 7)","('tryna', 6)","('one', 6)","('know', 6)","('darling', 6)","('mind', 5)","('cross', 5)","('said', 4)"
Mercy,"('mercy', 17)","('please', 10)","('heart', 9)","('would', 8)","('even', 6)","('begging', 6)","('though', 5)","('take', 4)","('got', 4)","('baby', 4)"
Treat You Better,"('better', 17)","('know', 11)","('treat', 9)","('time', 5)","('tell', 5)","('wasting', 3)","('wasted', 3)","('want', 3)","('promise', 3)","('let', 3)"
Three Empty Words,"('words', 8)","('three', 8)","('empty', 8)","('saying', 6)","('keep', 6)","(""'cause"", 5)","('wo', 4)","('na', 4)","('know', 4)","('gon', 4)"
