album,artist,lyrics,song,word_count,word_0,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9
Shawn Mendes,Shawn Mendes,"help me, it's like the walls are caving in sometimes i feel like giving up but i just can't it isn't in my blood  laying on the bathroom floor, feeling nothing i'm overwhelmed and insecure, give me something i could take to ease my mind slowly just have a drink and you'll feel better just take her home and you'll feel better keep telling me that it gets better does it ever?  help me, it's like the walls are caving in sometimes i feel like giving up no medicine is strong enough someone help me i'm crawling in my skin sometimes i feel like giving up but i just can't it isn't in my blood  it isn't in my blood  looking through my phone again feeling anxious afraid to be alone again, i hate this i'm trying to find a way to chill, can't breathe, oh is there somebody who could...  help me, it's like the walls are caving in sometimes i feel like giving up no medicine is strong enough someone help me i'm crawling in my skin sometimes i feel like giving up but i just can't it isn't in my blood  it isn't in my blood  i need somebody now i need somebody now someone to help me out i need somebody now  help me, it's like the walls are caving in sometimes i feel like giving up but i just can't it isn't in my blood  it isn't in my blood it isn't in my blood i need somebody now it isn't in my blood i need somebody now it isn't in my blood",In My Blood,268,"('blood', 10)","('feel', 8)","('help', 7)","('sometimes', 6)","('somebody', 6)","('giving', 6)","('need', 5)","('walls', 4)","('caving', 4)","('someone', 3)"
Shawn Mendes,Shawn Mendes,"i saw you on a sunday in a café and all you did was look my way and my heart started to race and my hands started to shake, yeah i heard you asked about me through a friend my adrenaline kicked in 'cause i've been askin' 'bout you too and now we're out here in this room  i get a little bit nervous around you get a little bit stressed out when i think about you get a little excited baby, when i think about you, yeah talk a little too much around you (i talk a little too much, yeah) get a little self-conscious when i think about you (i get a little self-conscious) get a little excited (i get a little excited) baby, when i think about you, yeah yeah, when i think about you, babe  we walked in the rain a couple blocks to your apartment you told me to come inside caught me staring in your eyes and i'm not usually like this but i like what you're doing to me ah, what you're doing to me  i get a little bit nervous around you (i get a little bit nervous) get a little bit stressed out when i think about you (i get a little bit stressed out) get a little excited (i get a little excited) baby, when i think about you, yeah yeah, when i think about you, babe (oh yeah) talk a little too much around you (i talk a little too much, yeah) get a little self-conscious when i think about you (i get a little self-conscious) get a little excited (i get a little excited) baby, when i think about you yeah, when i think about you, babe  you got me acting like i've never done this before i promise i'll be ready when i walk through the door and i don't know why no, i don't know why yeah  i get a little bit nervous around you (i get a little bit nervous) get a little bit stressed out when i think about you (i get a little bit stressed out) get a little excited (i get a little excited) baby, when i think about you, yeah yeah, when i think about you, babe talk a little too much around you (i talk a little too much, baby) get a little self-conscious when i think about you (i get a little self-conscious) get a little excited (i get a little excited) baby, when i think about you yeah, when i think about you, babe",Nervous,426,"('little', 33)","('get', 27)","('think', 17)","('yeah', 14)","('excited', 11)","('bit', 10)","('baby', 7)","('talk', 6)","('self-conscious', 6)","('much', 6)"
Shawn Mendes,Shawn Mendes,"all it'd take is one flight we'd be in the same time zone looking through your timeline seeing all the rainbows, i i got an idea and i know that it sounds crazy i just wanna see ya oh, i gotta ask  do you got plans tonight? i'm a couple hundred miles from japan, and i i was thinking i could fly to your hotel tonight 'cause i-i-i can't get you off my mind can't get you off my mind can't get you off my mind (oh)  i could feel the tension we could cut it with a knife i know it's more than just a friendship i can hear you thinking 'bout it, yeah do i gotta convince you? that you shouldn't fall asleep? it'll only be a couple hours and i'm about to leave  do you got plans tonight? i'm a couple hundred miles from japan, and i i was thinking i could fly to your hotel tonight 'cause i-i-i can't get you off my mind can't get you off my mind can't get you off my mind  do you got plans tonight? i was hoping i could get lost in your paradise the only thing i'm thinking 'bout is you and i 'cause i-i-i can't get you off my mind can't get you off my mind i can't seem to get you off my mind  let's get lost tonight let's get lost tonight baby, you and i can't seem to get you off my mind let's get lost tonight let's get lost tonight baby, you and i can't seem to get you off my mind  do you got plans tonight? i'm a couple hundred miles from japan, and i i was thinking i could fly to your hotel tonight 'cause i-i-i can't get you off my mind i can't get you off my mind  do you got plans tonight, baby? i was hoping i could get lost in your paradise the only thing i'm thinking 'bout is you and i and i-i-i can't get you off my mind can't get you off my mind i can't seem to get you off my mind, yeah  let's get lost tonight let's get lost tonight baby, you and i can't seem to get you off my mind let's get lost tonight let's get lost tonight baby, you and i can't seem to get you off my mind",Lost In Japan,397,"('get', 28)","('mind', 18)","('tonight', 16)","('lost', 10)","('let', 8)","('got', 8)","('could', 7)","('thinking', 6)","('seem', 6)","('plans', 5)"
Shawn Mendes,Shawn Mendes,"you said, ""i wanna get to know ya"" why you gotta get my hopes up? you said that you were staying over but then i woke up to the cold air  how could you make me believe? that there was something in between you and me, yeah i look around and i don't see you  where were you in the morning, baby? you didn't leave your number for me left me without a warning, baby where were you in the morning, baby?  how do you, how do you just walk away? how do you, how do you just walk away?  and i thought you really felt this when we were talking about breakfast you made it seem like we connected i guess i just didn't expect this  how could you make me believe? that there was something in between you and me, yeah i look around and i don't see you  where were you in the morning, baby? you didn't leave your number for me left me without a warning, baby i said where were you in the morning, baby?  how do you, how do you just walk away? where were, where were you? how do you, how do you just walk away? where were, where were you?  and i hope you had a good reason 'cause i know you had a good time and i'm looking up at the ceiling and i keep wondering why  where were you in the morning, baby? where were you in the morning? you didn't leave your number for me you didn't leave your number left me without a warning, babe left me without a warning i said, where were you in the morning baby? where were you in the morning?  how do you, how do you just walk away? where were, where were you? how do you, how do you just walk away? where were, where were you? how do you, how do you just walk away? where were, where were you? how do you, how do you just walk away? where were, where were you?",Where Were You In The Morning?,343,"('walk', 8)","('morning', 8)","('baby', 8)","('away', 8)","('without', 4)","('warning', 4)","('said', 4)","('number', 4)","('left', 4)","('leave', 4)"
Shawn Mendes,Shawn Mendes,"sunrise with you on my chest no blinds in the place where i live daybreak open your eyes 'cause this was only ever meant to be for one night still, we're changing our minds here be yours, be my dear so close with you on my lips touch noses, feeling your breath push your heart and pull away, yeah be my summer in a winter day love i can't see one thing wrong between the both of us be mine, be mine, yeah anytime, anytime  ooh, you know i've been alone for quite a while, haven't i i thought i knew it all found love but i was wrong more times than enough but since you came along i'm thinking, baby  you are bringing out a different kind of me there's no safety net that's underneath i'm free falling all in you fell for men who weren't how they appear trapped up on a tightrope now we're here we're free falling all in you  fast forward a couple years, yeah grown up in the place that we live make love, then we fight laugh 'cause it was only meant to be for one night baby i guess we can't control what's just not up to us be mine, be mine, yeah anytime, anytime  ooh, you know i've been alone for quite a while, haven't i i thought i knew it all found love but i was wrong more times than enough but since you came along i'm thinking, baby  you are bringing out a different kind of me there's no safety net that's underneath i'm free falling all in you fell for men who weren't how they appear trapped up on a tightrope now we're here we're free falling all in you  every time i see you baby i get lost if i'm dreaming, baby, please don't wake me up every night i'm with you i fall more in love now i'm laying by your side everything feels right since you came along i'm thinking baby  you, yeah, are bringing out a different kind of me there's no safety net that's underneath i'm free falling all in you fell for men who weren't how they appear (ooh) trapped up on a tightrope now we're here we're free falling all in",Fallin' All In You,380,"('free', 6)","('falling', 6)","('baby', 6)","('yeah', 5)","('love', 5)","('mine', 4)","('anytime', 4)","('wrong', 3)","('underneath', 3)","('trapped', 3)"
Shawn Mendes,Shawn Mendes,"she don't listen to a thing, 'less it feels right only dances when it's kanye she could take you one-on-one if she feels like you'll be begging her for mercy, mercy  ooh, she'll take your name and number then she'll hit erase and walk away but ooh, is she so specific when she's at my place at my place  she's got particular taste, yeah she's so obsessed with the chase, yeah she don't waste time on conversations, no she just goes right for the face, yeah she's so particular  never pickin' up her phone 'less it rings twice only answers with a question, ""mhm?"" if i try to play it cool, it never goes right got me drownin', drownin', uh  ooh, she'll take your name and number then she'll hit erase and walk away but oh, is she so specific when she's at my place at my place  she's got particular taste, yeah she's so obsessed with the chase, yeah she don't waste time on conversations no, she just goes right for the face (she just goes, she) she's so particular  i'm so obsessed with her yeah, she's so particular i'm so obsessed with her yeah, she's so particular  she's the best at getcha' thinkin' that she don't care knows exactly what she wants, uh now she's runnin' all her fingers right through my hair and it means that  she's got particular taste she's got particular taste she's so obsessed with the chase, yeah she don't waste time on conversations no, she just goes right for the face (she just goes, she) she's so particular  i'm so obsessed with her yeah, she's so particular (she just goes, she) i'm so obsessed with her (she's so particular, she just goes) yeah, she's got particular taste",Particular Taste,294,"('particular', 12)","('yeah', 10)","('goes', 8)","('obsessed', 7)","('right', 6)","('got', 6)","('taste', 5)","('place', 4)","('waste', 3)","('time', 3)"
Shawn Mendes,Shawn Mendes,"i know a girl, she's like a curse we want each other, no one will break first so many nights, trying to find someone new they don't mean nothing compared to her, and i know  when people ask about us, now, we just brush it off i don't know why we act like it means nothing at all i wish that i could tell you that you're all that i want, yeah  i pretend that i'm not ready why do we put each other through hell? why can't we just get over ourselves? and you say ""hi"" like you just met me why do we put each other through hell? why can't we just get over ourselves? why can't we just get over ourselves?  when i hear you sing, it gets hard to breathe can't help but think every song's about me and every line, every word that i write you are the muse in the back of my mind, oh  don't wanna ask about it 'cause you might brush it off i'm afraid you think that it means nothing at all i don't know why i won't admit that you're all i want  i pretend that i'm not ready why do we put each other through hell? why can't we just get over ourselves? and you say ""hi"" like you just met me why do we put each other through hell? why can't we just get over ourselves?  (instrumental)  i pretend that i'm not ready why do we put each other through hell? why can't we just get over ourselves? and you say ""hi"" like you just met me why do we put each other through hell? why can't we just get over ourselves?  i know a girl, she's like a curse we want each other, no one will break first so many nights, trying to find someone new they don't mean nothing compared to you",Why,317,"('get', 7)","('put', 6)","('hell', 6)","('know', 5)","('want', 4)","('nothing', 4)","('say', 3)","('ready', 3)","('pretend', 3)","('met', 3)"
Shawn Mendes,Shawn Mendes,"i think it's time that i be honest should've told you not to go thought i knew just what i wanted i didn't know myself at all  you're with somebody i can't be, yeah but i can tell that you're happy  it's time for me to finally meet somebody new take her to all the places that i took us to and she might help me forget but loving her is something i could never do because i had, because i had you  hey, remember when i told you that you and i will go down in history together, yeah and does your sister ask about me? you and i, what we had, is it gone forever?  you're with somebody i can't be but i can tell that you're happy  it's time for me to finally meet somebody new take her to all the places that i took us to and she might help me forget but loving her is something i could never do because i had, because i had you  there's nothin', oh there's nothin' left to lose because i had you, babe there's nothin' nothin' that i could do i wish i had you  but i think it's time i finally found somebody new and tell myself that she's the one that get me through and she might help me forget but loving her is something i just couldn't do because i had you",Because I Had You,237,"('somebody', 5)","('time', 4)","('nothin', 4)","('could', 4)","('tell', 3)","('something', 3)","('new', 3)","('might', 3)","('loving', 3)","('help', 3)"
Shawn Mendes,Shawn Mendes,"it's hard to believe you don't remember me at all am i hard to recognize? you say ""nice to meet you"" every time yeah and i made you laugh i still remember what i said guess i shouldn't be surprised you say ""nice to meet you"" every time  i know we got a lot of mutual friends don't say my name, don't come up in your conversations, yeah  who crowned you queen of you think you're too cool making beautiful look ugly the way you put yourself above me you treat me like i got nothin' on you making beautiful look ugly you ain't the ruler of no country who made you the queen?  i shouldn't stress about the fact you're not impressed are you playing hard to get? or maybe you're not interested i don't understand why everybody thinks you're sweet 'cause i see the opposite no, you're not so innocent  i see the way you're lookin' through me right now to see if there's somebody cooler around, yeah  who crowned you queen of you think you're too cool making beautiful look ugly the way you put yourself above me you treat me like i got nothin' on you making beautiful look ugly you ain't the ruler of no country who made you the queen?  no, no, no, no who made you the queen? who made you the queen?  who crowned you queen of you think you're too cool making beautiful look ugly the way you put yourself above me (nah, yeah) you treat me like i got nothin' on you making beautiful look ugly (making beautiful look ugly) you ain't the ruler of no country (you ain't the ruler of no country babe)  who made you the queen? who made you the queen? yeah, you think you're too cool, no who made you the queen? who made you the queen?",Queen,312,"('queen', 11)","('made', 9)","('ugly', 7)","('making', 7)","('look', 7)","('beautiful', 7)","('yeah', 5)","('way', 4)","('think', 4)","('ruler', 4)"
Shawn Mendes,Shawn Mendes,"i want you close to me i want you close, i want you closer but when you're here with me it's hard to tell just what you're after  you say, you want all of me today but tomorrow's not the same my feelings never change what do you want from me? what do you want, uh?  i need to know if this is mutual before i go and get way too involved i want you bad can you reciprocate? no, i don't want to have to leave but half of you's not enough for me  this inconsistency, what does it mean? you got me questioning, the way you act and take it back do i mean anything? just tell me honestly  you say, you want all of me today but tomorrow's not the same my feelings never change what do you want from me? what do you want, uh?  i need to know if this is mutual before i go and get way too involved i want you bad can you reciprocate? no, i don't want to have to leave but half of you's not enough for me  are you playin' me, is this a game? when you show up late, say love at 2 a.m then tell me you can't stay, girl, yeah what do you want from me? baby, oh  i need to know if this is mutual before i go and get way too involved i want you bad, baby can you reciprocate? no, i don't want to have to leave but half of you's not enough for me",Mutual,262,"('want', 16)","('way', 4)","('tell', 3)","('say', 3)","('reciprocate', 3)","('need', 3)","('mutual', 3)","('leave', 3)","('know', 3)","('involved', 3)"
Shawn Mendes,Shawn Mendes,"taste the poison from your lips lately, we're as good as gone oh, our love is drunk and it's singing me my favorite song  me and you we were made to break i know that's true but it's much too late  you're perfectly wrong for me and that's why it's so hard to leave yeah, you're perfectly wrong for me you're perfectly wrong for me all the stars in the sky could see why you're perfectly wrong for me  oh, you know how much it hurts every time you say you hate me but when we're making love, you make it worth it i can't believe the places that you take me  there's no use we were made to break i know the truth and it's much too late  you're perfectly wrong for me and that's why it's so hard to leave yeah, you're perfectly wrong for me oh, you're perfectly wrong for me all the stars in the sky could see why you're perfectly wrong for me  oh, and why can't i quit when you break my heart open i need you more than i know oh and i can't resist when you're up against my skin i never want to let you go  you're perfectly wrong for me and that's why it's so hard for me yeah, you're perfectly wrong for me, mhm yeah, you're perfectly wrong for me hate that you know that i won't leave yeah, you're perfectly wrong for me, oh yeah, you're perfectly wrong for me and that's why it's so hard for me yeah, you're perfectly wrong for me, yeah oh, you're perfectly wrong for me hate that you know that i won't leave yeah, you're perfectly wrong for me yeah, you're perfectly wrong for me",Perfectly Wrong,293,"('wrong', 17)","('perfectly', 17)","('yeah', 10)","('oh', 7)","('know', 6)","('leave', 4)","('hard', 4)","('much', 3)","('hate', 3)","('break', 3)"
