0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"('blood', 0.6163425859366538)","('giving', 0.2965303747523599)","('sometimes', 0.2819502378530605)","('help', 0.28128315054471387)","('caving', 0.2465370343746615)","('feel', 0.22376622201921081)","('somebody', 0.2201187428952904)","('wall', 0.19768691650157327)","('need', 0.142574312497018)","('better', 0.1294722443526767)","('medicine', 0.12326851718733076)","('crawling', 0.12326851718733076)","('someone', 0.12054992166202022)","('strong', 0.08987430258425014)","('skin', 0.08987430258425014)","('enough', 0.07550656880824701)","('feeling', 0.07139745877481032)","('overwhelmed', 0.06163425859366538)","('floor', 0.06163425859366538)","('ease', 0.06163425859366538)"
"('little', 0.640355328260842)","('excited', 0.34847145545787656)","('get', 0.32072278593085307)","('bit', 0.2693079213284772)","('think', 0.26470764096717525)","('self', 0.19007533934065993)","('conscious', 0.19007533934065993)","('stressed', 0.15839611611721663)","('nervous', 0.14450784549093215)","('yeah', 0.13870982630125583)","('talk', 0.12392224600531643)","('much', 0.1200046899618726)","('babe', 0.10687741941166963)","('around', 0.10211171206194933)","('baby', 0.07809791840453063)","('started', 0.057803138196372866)","('walked', 0.031679223223443326)","('sunday', 0.031679223223443326)","('kicked', 0.031679223223443326)","('café', 0.031679223223443326)"
"('tonight', 0.4802603718327583)","('get', 0.4500627643885144)","('mind', 0.39596145813647815)","('lost', 0.28924439721162143)","('seem', 0.20623887683943298)","('plan', 0.1822082901088107)","('thinking', 0.17354663832697284)","('let', 0.15865823445626123)","('could', 0.13118312052053177)","('japan', 0.12860112841193064)","('fly', 0.12860112841193064)","('couple', 0.12501636796690815)","('got', 0.11894475572635597)","('mile', 0.11732530096103067)","('hotel', 0.10932497406528642)","('hundred', 0.10311943841971649)","('bout', 0.10311943841971649)","('wa', 0.09370222894323699)","('paradise', 0.08573408560795376)","('hoping', 0.08573408560795376)"
"('morning', 0.511554439579481)","('walk', 0.3923202778067024)","('away', 0.31583336393442857)","('warning', 0.2744948219506204)","('number', 0.2744948219506204)","('without', 0.21936665867186525)","('baby', 0.21192595494765434)","('left', 0.17426807795710322)","('leave', 0.16163560835454563)","('said', 0.15791668196721428)","('hope', 0.11469812061792921)","('believe', 0.10533931953748923)","('good', 0.09497946256947529)","('something', 0.0921488302605482)","('look', 0.08081780417727281)","('around', 0.08081780417727281)","('woke', 0.07521895012612562)","('connected', 0.07521895012612562)","('ceiling', 0.07521895012612562)","('breakfast', 0.07521895012612562)"
"('falling', 0.3230458554450992)","('free', 0.2897267592745203)","('mine', 0.2031393557427063)","('anytime', 0.2031393557427063)","('trapped', 0.19000261328316437)","('tightrope', 0.19000261328316437)","('since', 0.19000261328316437)","('safety', 0.19000261328316437)","('net', 0.19000261328316437)","('men', 0.19000261328316437)","('bringing', 0.19000261328316437)","('appear', 0.19000261328316437)","('fell', 0.17334306519787496)","('came', 0.17334306519787496)","('underneath', 0.15235451680702972)","('kind', 0.15235451680702972)","('along', 0.14486337963726015)","('baby', 0.13383092025037058)","('different', 0.13304324216193475)","('thinking', 0.12820383155197068)"
"('particular', 0.6745825283606651)","('obsessed', 0.3590035808020293)","('taste', 0.23894527705106824)","('yeah', 0.1758160468282754)","('chase', 0.16864563209016628)","('go', 0.16337211058091797)","('right', 0.1591507829601135)","('conversation', 0.153858677486584)","('place', 0.13773566102337773)","('waste', 0.12295847239688806)","('got', 0.11698680502064371)","('face', 0.11379325702347631)","('specific', 0.11243042139344418)","('drownin', 0.11243042139344418)","('number', 0.10257245165772265)","('erase', 0.10257245165772265)","('uh', 0.09557811082042729)","('mercy', 0.09015287858320581)","('le', 0.08572014108470576)","('hit', 0.08572014108470576)"
"('hell', 0.43536224792754896)","('put', 0.3585992762506305)","('hi', 0.25606260980223366)","('get', 0.2560391797651694)","('pretend', 0.205325045348853)","('mean', 0.19774954215700125)","('ready', 0.19522939402631573)","('met', 0.19522939402631573)","('nothing', 0.1834149313120196)","('curse', 0.17070840653482244)","('brush', 0.17070840653482244)","('compared', 0.15574058657651663)","('want', 0.14925926441725193)","('many', 0.13015292935087716)","('new', 0.12446242830414012)","('ask', 0.12446242830414012)","('every', 0.11620599505701311)","('first', 0.1151851093925713)","('someone', 0.11129570634026252)","('trying', 0.1077773133072316)"
"('nothin', 0.3669753099426552)","('finally', 0.3237602343021864)","('somebody', 0.32118544224601486)","('loving', 0.25960871382820616)","('new', 0.23605155579346113)","('forget', 0.2184564823845079)","('happy', 0.2158401562014576)","('help', 0.2110799619830111)","('might', 0.20440708760111065)","('something', 0.1983152305755546)","('meet', 0.1834876549713276)","('took', 0.17307247588547078)","('time', 0.16186530492549045)","('could', 0.14154023050307113)","('told', 0.14071997465534075)","('place', 0.1322101537170364)","('tell', 0.12749083571967385)","('history', 0.1079200781007288)","('think', 0.10609020260801623)","('sister', 0.09845757808864825)"
"('queen', 0.512909912176124)","('ugly', 0.35776639865595694)","('made', 0.3353724474349503)","('beautiful', 0.2868767216153297)","('making', 0.26084523689385025)","('ruler', 0.20443794208911825)","('country', 0.20443794208911825)","('look', 0.1921982073619946)","('cool', 0.16392955520875985)","('crowned', 0.1533284565668387)","('nothin', 0.13034589777429142)","('think', 0.1256072032580723)","('treat', 0.12294716640656987)","('put', 0.10736333898174413)","('hard', 0.09391940391748468)","('nice', 0.09325634766838617)","('meet', 0.08689726518286095)","('way', 0.08050390791793406)","('yeah', 0.07992381055398351)","('see', 0.07234798675257548)"
"('want', 0.6204396274391485)","('reciprocate', 0.2660997138889004)","('mutual', 0.24276792438131528)","('involved', 0.24276792438131528)","('half', 0.2262137562782482)","('bad', 0.2262137562782482)","('enough', 0.16299600916001072)","('uh', 0.15080917085216544)","('tomorrow', 0.15080917085216544)","('today', 0.15080917085216544)","('leave', 0.1429533018783254)","('way', 0.13971357531119716)","('need', 0.12311005154935846)","('close', 0.11565825888082702)","('tell', 0.10478518148339787)","('mean', 0.10275044964643656)","('feeling', 0.10275044964643656)","('change', 0.1001037325424369)","('get', 0.09977826204177329)","('go', 0.09666705715456608)"
